CÓDIGOS DIVIPOLA;(00 a 04);(05 a 09);(10 a 14);(15 a 17);(18 a 19);(20 a 24);(25 a 29);(30 a 34);(35 a 39);(40 a 44);(45 a 49);(50 a 54);(55 a 59);(60 a 64);(65 a 69);(70 a 74);(75 a 79);(80 y más);TOTAL
5364; -   ; -   ; -   ; -   ; -   ; 1 ; 2 ; 1 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 
5368; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; 1 ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; 5 
5376; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 4 
5380; -   ; -   ; -   ; 1 ; 2 ; 3 ; 1 ; 2 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 12 
5390; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
5400; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
5411; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
5425; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 2 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
5440; -   ; -   ; -   ; -   ; -   ; 2 ; 1 ; -   ; 1 ; 1 ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; 7 
5001; -   ; -   ; -   ; 22 ; 18 ; 73 ; 65 ; 57 ; 42 ; 24 ; 26 ; 15 ; 9 ; 6 ; 4 ; 3 ; 1 ; 3 ; 368 
5475; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
5480; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; 2 ; 1 ; -   ; 2 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 8 
5483; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
5495; -   ; -   ; -   ; -   ; 1 ; 2 ; 1 ; 1 ; -   ; 3 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 10 
