CASOS Y TASAS X 100.00 HABITANTES",VIOLENTA - HOMICIDIO (CASOS),VIOLENTA - HOMICIDIO (CASOS).1,VIOLENTA - HOMICIDIO (CASOS).2,VIOLENTA - HOMICIDIO (CASOS).3,VIOLENTA - HOMICIDIO (CASOS).4,VIOLENTA - HOMICIDIO (CASOS).5,VIOLENTA - HOMICIDIO (CASOS).6,VIOLENTA - HOMICIDIO (CASOS).7,VIOLENTA - HOMICIDIO (CASOS).8,VIOLENTA - HOMICIDIO (CASOS).9,VIOLENTA - HOMICIDIO (TASAS),VIOLENTA - HOMICIDIO (TASAS).1,VIOLENTA - HOMICIDIO (TASAS).2,VIOLENTA - HOMICIDIO (TASAS).3,VIOLENTA - HOMICIDIO (TASAS).4,VIOLENTA - HOMICIDIO (TASAS).5,VIOLENTA - HOMICIDIO (TASAS).6,VIOLENTA - HOMICIDIO (TASAS).7,VIOLENTA - HOMICIDIO (TASAS).8,VIOLENTA - HOMICIDIO (TASAS).9
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),Indeterminado (Tasa x 100.000 Hab.),Indeterminado (Tasa x 100.000 Hab.),INDETERMINADO (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,(TASA X 100.000 HAB.)
17777,Supía,2,7,9,-,-,-,-,-,-,9,48.06536890170632,68.59382655561,62.64791869692329,0,0,0,-,-,-,30.650819057998163
17867,Victoria,-,2,2,-,-,-,-,-,-,2,0,54.779512462339085,39.09304143862393,0,0,0,-,-,-,19.321804656554924
17873,Villamaría,-,2,2,-,-,-,-,-,-,2,0,8.291873963515755,6.160860056063827,0,0,0,-,-,-,2.966082842693796
17877,Viterbo,-,1,1,-,-,-,-,-,-,1,0,21.973192704900022,16.404199475065617,0,0,0,-,-,-,7.780284758422158
18,Caquetá,1,131,132,-,9,9,1,-,1,142,1.3262775368373587,99.32594833534259,63.679518351279384,0,6.83433570256971,4.4284146767503305,-,-,-,34.590191488376966
18029,Albania,-,5,5,-,-,-,-,-,-,5,0,347.22222222222223,224.11474675033617,0,0,0,-,-,-,113.73976342129207
18094,Belén de los Andaquíes,-,5,5,-,-,-,1,-,1,6,0,147.9727730097662,90.05763688760807,0,0,0,-,-,-,53.66246310705661
18150,Cartagena del Chairá,-,18,18,-,-,-,-,-,-,18,0,193.40281508541958,113.31444759206798,0,0,0,-,-,-,57.78305672370068
18205,Curillo,-,4,4,-,1,1,-,-,-,5,0,171.89514396218308,103.22580645161291,0,42.462845010615716,25.660764690787786,-,-,-,64.33350488934637
18247,El Doncello,-,9,9,-,-,-,-,-,-,9,0,149.08066920655955,94.82667790538405,0,0,0,-,-,-,46.670815183571875
18256,El Paujíl,-,3,3,-,-,-,-,-,-,3,0,51.15089514066496,31.84713375796178,0,0,0,-,-,-,16.24783362218371
18001,Florencia,-,38,38,-,4,4,-,-,-,42,0,65.68258028831195,44.38008035130337,0,6.552113875739161,4.577339878929361,-,-,-,24.27591309223113
18460,Milán,-,3,3,-,-,-,-,-,-,3,0,104.38413361169101,58.26374053214216,0,0,0,-,-,-,30.14469453376206
18479,Morelia,-,2,2,-,-,-,-,-,-,2,0,158.10276679841897,106.21348911311736,0,0,0,-,-,-,53.37603416066186
18592,Puerto Rico,-,9,9,-,-,-,-,-,-,9,0,109.54235637779942,67.65899864682004,0,0,0,-,-,-,34.243969256525375
18610,San José del Fragua,-,8,8,-,-,-,-,-,-,8,0,200.65211938801102,120.50007531254707,0,0,0,-,-,-,61.07336437896023
18753,San Vicente del Caguán,1,21,22,-,4,4,-,-,-,26,9.400263207369807,125.3955932405804,80.33595033777615,0,26.296758924462562,15.867978419549349,-,-,-,49.43623676154621
18756,Solano,-,3,3,-,-,-,-,-,-,3,0,81.72160174339417,47.77070063694268,0,0,0,-,-,-,26.080153003564288
18785,Solita,-,3,3,-,-,-,-,-,-,3,0,150.7537688442211,93.34163036714375,0,0,0,-,-,-,47.27387330601954
85,Casanare,6,70,76,3,7,10,-,-,-,86,8.27780307106494,47.70504651242035,34.66868596556852,4.321334428071388,4.776396413608636,4.6301226519490495,-,-,-,19.761256448258827
85010,Aguazul,-,3,3,-,-,-,-,-,-,3,0,23.384519448125342,15.768725361366622,0,0,0,-,-,-,7.892659826361483
85125,Hato Corozal,-,1,1,-,-,-,-,-,-,1,0,25.91344908007256,15.827793605571383,0,0,0,-,-,-,8.259002312520646
85139,Maní,-,5,5,-,3,3,-,-,-,8,0,82.16926869350863,54.76451259583789,0,53.71530886302597,36.00144005760231,-,-,-,45.811143560671134
85162,Monterrey,-,4,4,-,-,-,-,-,-,4,0,65.47716483876248,44.72772000447277,0,0,0,-,-,-,22.211116663890277
85225,Nunchía,-,3,3,-,-,-,-,-,-,3,0,94.19152276295134,64.02048655569781,0,0,0,-,-,-,34.43130953747274
85230,Orocué,2,1,3,-,-,-,-,-,-,3,78.89546351084812,25.22704339051463,46.16094783812894,0,0,0,-,-,-,23.711666139740753
85250,Paz de Ariporo,1,5,6,-,-,-,-,-,-,6,14.65845793022574,41.22011541632317,31.658927817644575,0,0,0,-,-,-,16.0655474335288
85300,Sabanalarga,-,-,-,-,1,1,-,-,-,1,0,0,0,0,78.003120124805,57.01254275940707,-,-,-,28.01905295601009
85315,Sácama,-,1,1,-,-,-,-,-,-,1,0,141.44271570014143,95.41984732824427,0,0,0,-,-,-,48.56726566294317
85325,San Luis de Palenque,-,2,2,-,-,-,-,-,-,2,0,70.3482237073514,46.41448131817127,0,0,0,-,-,-,23.963575365444527
85400,Támara,-,1,1,-,-,-,-,-,-,1,0,45.850527281063734,28.70264064293915,0,0,0,-,-,-,15.227653418608192
85410,Tauramena,-,4,4,-,-,-,-,-,-,4,0,47.681487662415066,31.345505838100465,0,0,0,-,-,-,15.89004091685536
85430,Trinidad,-,1,1,-,-,-,-,-,-,1,0,23.19109461966605,14.677821811243211,0,0,0,-,-,-,7.43549706297866
85440,Villanueva,1,9,10,1,-,1,-,-,-,11,16.688918558077436,73.16478335094708,54.66571912753512,17.602534765006162,0,5.5894024928735115,-,-,-,30.400176873756354
85001,Yopal,2,30,32,2,3,5,-,-,-,37,7.335142668524903,49.50576742190465,36.41950719854322,7.495409061949556,4.751346214760849,5.566503011478129,-,-,-,20.82301562288956
19,Cauca,35,640,675,10,55,65,-,-,-,740,15.522372173265152,124.89730124253299,91.47556179546876,4.620730445068757,10.230293200203118,8.620289509107668,-,-,-,49.5999495957269
19022,Almaguer,-,5,5,-,-,-,-,-,-,5,0,75.83801001061732,55.26693931690063,0,0,0,-,-,-,27.5072894316994
19050,Argelia,5,68,73,1,4,5,-,-,-,78,120.74378169524269,695.6521739130435,524.5760275941362,25.56237218813906,45.662100456621005,39.457070707070706,-,-,-,293.3654280126373
19075,Balboa,-,9,9,-,-,-,-,-,-,9,0,117.66243953457969,83.71314296344526,0,0,0,-,-,-,41.983486495311844
19100,Bolívar,2,11,13,-,1,1,-,-,-,14,41.71881518564873,78.85304659498208,69.35552710200598,0,7.230657989877079,5.479452054794521,-,-,-,37.84397469859977
19110,Buenos Aires,1,32,33,-,3,3,-,-,-,36,18.406037180195103,304.442964513367,206.97441043652788,0,27.332361516034986,18.627755355479664,-,-,-,112.32799775344004
19130,Cajibío,-,19,19,1,1,2,-,-,-,21,0,126.16201859229747,86.78573059882154,15.740594994490792,6.855419208884624,9.551098376313277,-,-,-,49.027618891975806
19137,Caldono,-,7,7,-,-,-,-,-,-,7,0,52.770448548812666,32.933427428840275,0,0,0,-,-,-,16.758439071103663
19142,Caloto,3,28,31,1,1,2,-,-,-,33,62.43496357960458,274.079874706343,206.37773783369946,22.222222222222225,9.350163627863488,13.162224415926293,-,-,-,109.21366163621923
19212,Corinto,5,40,45,1,2,3,-,-,-,48,131.89132155104195,445.2359750667854,352.2504892367906,27.434842249657066,22.172949002217294,23.68732727990525,-,-,-,188.67924528301887
19256,El Tambo,1,65,66,1,4,5,-,-,-,71,13.257324671881214,325.0812703175794,239.66882126516086,13.871549452073797,21.02828304068973,19.061415881971712,-,-,-,132.04634640778144
19300,Guachené,-,11,11,-,-,-,-,-,-,11,0,171.4196665108306,118.25413889486131,0,0,0,-,-,-,54.94505494505494
19318,Guapí,-,1,1,-,-,-,-,-,-,1,0,12.44090569793481,7.2764316379247616,0,0,0,-,-,-,3.6106296938186015
19355,Inzá,-,1,1,-,-,-,-,-,-,1,0,10.650761529449355,6.725854183481302,0,0,0,-,-,-,3.3966237559865498
19364,Jambaló,-,1,1,-,-,-,-,-,-,1,0,17.029972752043594,10.734220695577502,0,0,0,-,-,-,5.385609651012494
19392,La Sierra,-,1,1,-,-,-,-,-,-,1,0,24.57606291472106,18.37897445322551,0,0,0,-,-,-,9.385265133740027
19397,La Vega,1,1,2,-,-,-,-,-,-,2,29.30832356389214,10.980564401010213,15.975716910296349,0,0,0,-,-,-,8.116224332440549
19418,López de Micay,-,4,4,-,1,1,-,-,-,5,0,74.94847292486415,41.727519298977676,0,18.611576400521123,10.699764605178686,-,-,-,26.410310585252486
19450,Mercaderes,-,12,12,1,4,5,-,-,-,17,0,140.2032947774273,103.18142734307824,35.186488388458834,46.3768115942029,43.60338362256911,-,-,-,73.60263237649912
19455,Miranda,1,21,22,-,1,1,-,-,-,23,22.32142857142857,187.38288569643973,140.24351373748965,0,8.31739166597355,6.099420555047271,-,-,-,71.69129106664172
19473,Morales,1,12,13,1,-,1,-,-,-,14,14.378145219266715,90.28666014596344,64.21021436333103,14.615609470914936,0,5.040830728904123,-,-,-,34.926654026544256
19513,Padilla,-,5,5,-,-,-,-,-,-,5,0,149.56625785222855,106.04453870625663,0,0,0,-,-,-,50.04003202562049
19517,Páez,1,4,5,1,3,4,-,-,-,9,10.103051121438675,28.690288337397792,20.973154362416107,10.415581710238516,22.554695135704083,17.465723517596714,-,-,-,19.254631808651748
19532,Patía,-,22,22,-,2,2,-,-,-,24,0,170.1601051898832,120.83928375260903,0,14.206563432305725,10.369141435089174,-,-,-,64.01024163866218
19533,Piamonte,-,2,2,-,-,-,-,-,-,2,0,64.59948320413437,41.92872117400419,0,0,0,-,-,-,21.600604816934876
19548,Piendamó,-,13,13,-,1,1,-,-,-,14,0,88.58603066439524,62.82317691973131,0,6.539794650447976,4.729474082482028,-,-,-,33.46320242847241
19001,Popayán,2,68,70,-,5,5,-,-,-,75,5.06842372022301,58.16191250053457,44.76418864908074,0,3.8043354206453674,2.9567953069744886,-,-,-,23.043102892063033
19573,Puerto Tejada,3,33,36,-,3,3,-,-,-,39,49.72650422675286,247.26509815675107,185.7680994891377,0,18.02451333813987,13.38449183545998,-,-,-,93.3170626659967
19585,Puracé,-,1,1,-,-,-,-,-,-,1,0,16.798252981689906,11.42334932602239,0,0,0,-,-,-,5.691843588138198
19622,Rosas,-,5,5,-,1,1,-,-,-,6,0,110.64394777605665,84.71704506946797,0,23.16423442205235,17.739932588256163,-,-,-,51.99757344657249
19701,Santa Rosa,-,1,1,-,-,-,-,-,-,1,0,50.838840874428065,35.49875754348598,0,0,0,-,-,-,18.57700167193015
19698,Santander de Quilichao,7,70,77,-,9,9,-,-,-,86,42.13567687955216,181.9978160262077,139.80935088515662,0,21.242447129909365,15.537064530608017,-,-,-,76.10552119007797
19780,Suárez,-,27,27,2,4,6,-,-,-,33,0,244.80913954120953,164.183642444512,38.00114003420103,36.975411351451285,37.31111249300417,-,-,-,101.45729570190001
19807,Timbío,-,9,9,-,1,1,-,-,-,10,0,68.17148916830783,50.09462317711232,0,7.265857734505559,5.4582173462147265,-,-,-,27.558078650756467
19809,Timbiquí,-,5,5,-,-,-,-,-,-,5,0,67.18624025799517,37.20514919264826,0,0,0,-,-,-,18.79204720562258
19821,Toribío,1,13,14,-,1,1,-,-,-,15,15.472690700912887,107.94652495225442,75.65114017075544,0,8.386447500838644,5.498130635583902,-,-,-,40.878617757671556
19824,Totoró,-,3,3,-,2,2,-,-,-,5,0,36.710719530102786,23.408239700374533,0,24.009603841536617,15.629884338855891,-,-,-,19.52209901608621
19845,Villa Rica,1,10,11,-,1,1,-,-,-,12,32.701111837802486,146.4557703573521,111.26846044911996,0,11.921793037672865,8.739730816290859,-,-,-,56.264066016504124
20,Cesar,7,192,199,5,14,19,-,-,-,218,3.0078418734557957,47.144330403182245,31.094478776846334,2.2374067560734408,3.2412734500346123,2.8989841349278764,-,-,-,16.82894764267358
20011,Aguachica,2,16,18,-,2,2,-,-,-,20,10.058338362502514,42.31572822723546,31.198544067943498,0,4.795013186286262,3.2810013616155653,-,-,-,16.856015912079023
20013,Agustín Codazzi,1,13,14,1,1,2,-,-,-,16,8.545547769612032,62.62947439418028,43.13133491481562,8.773469029654326,4.803304673615448,6.207902660086289,-,-,-,24.738697507576227
20032,Astrea,-,5,5,-,1,1,-,-,-,6,0,76.0225026607876,46.403712296983755,0,15.75795776867318,9.72100709633518,-,-,-,28.487323141202165
20045,Becerril,-,3,3,-,1,1,-,-,-,4,0,43.109642189969826,25.35496957403651,0,14.62629808395495,8.71383757406762,-,-,-,17.16148961729878
20060,Bosconia,-,10,10,-,1,1,-,-,-,11,0,74.31076763022962,45.924225028702644,0,7.34322220590395,4.64015590923855,-,-,-,25.38891196971795
20175,Chimichagua,1,7,8,1,1,2,-,-,-,10,13.819789939192924,64.32049986217035,44.15254705005795,14.216661927779356,9.028530155290719,11.043622308117063,-,-,-,27.602197134891938
20178,Chiriguaná,-,8,8,1,1,2,-,-,-,10,0,87.90242830458192,54.399564803481574,18.635855385762206,10.460251046025103,13.399437223636607,-,-,-,33.74730021598272
20228,Curumaní,-,8,8,-,-,-,-,-,-,8,0,65.09886890715273,40.605014719317836,0,0,0,-,-,-,20.167897748758413
20238,El Copey,1,4,5,-,-,-,-,-,-,5,16.931933626820182,40.22526146419951,31.54574132492114,0,0,0,-,-,-,15.79778830963665
20250,El Paso,-,10,10,-,1,1,-,-,-,11,0,84.54514710855597,49.241678156391565,0,8.035355564483728,4.866180048661801,-,-,-,26.922512115130452
20295,Gamarra,-,1,1,-,-,-,-,-,-,1,0,18.311664530305805,12.591286829513976,0,0,0,-,-,-,6.303580433686334
20310,González,-,1,1,-,-,-,-,-,-,1,0,60.64281382656156,41.85851820845542,0,0,0,-,-,-,21.891418563922944
20383,La Gloria,1,4,5,-,-,-,-,-,-,5,30.09328919650918,64.71444750040446,52.609427609427605,0,0,0,-,-,-,27.10320901994796
20400,La Jagua de Ibirico,-,8,8,-,-,-,-,-,-,8,0,51.927820329741664,31.560675398453526,0,0,0,-,-,-,15.702901110980255
20621,La Paz,-,2,2,-,1,1,-,-,-,3,0,21.512315800795957,13.490725126475548,0,10.540739959945189,6.766815536608472,-,-,-,10.134108029591596
20443,Manaure Balcón del Cesar,-,2,2,-,-,-,-,-,-,2,0,55.18763796909492,36.449790413705124,0,0,0,-,-,-,18.458698661744346
20517,Pailitas,-,6,6,-,-,-,-,-,-,6,0,96.61835748792271,62.07324643078833,0,0,0,-,-,-,30.449124587668106
20550,Pelaya,-,9,9,1,-,1,-,-,-,10,0,129.55232474449403,80.37867285880147,25.88661661920787,0,9.013881377321075,-,-,-,44.86115472612265
20570,Pueblo Bello,-,2,2,-,-,-,-,-,-,2,0,25.546046749265553,13.430931435095024,0,0,0,-,-,-,6.794170601623807
20614,Río de Oro,-,3,3,-,-,-,-,-,-,3,0,47.70233741453331,33.29633740288568,0,0,0,-,-,-,16.86056314280897
20710,San Alberto,-,4,4,-,-,-,-,-,-,4,0,42.93688278231001,28.234629773417097,0,0,0,-,-,-,14.05827153551471
20750,San Diego,-,1,1,-,-,-,-,-,-,1,0,15.276504735716468,9.73141300116777,0,0,0,-,-,-,4.885197850512946
20770,San Martín,-,4,4,-,-,-,-,-,-,4,0,41.70576582212491,27.354168091362922,0,0,0,-,-,-,13.90385484375543
20787,Tamalameque,-,4,4,-,-,-,-,-,-,4,0,82.08495793145906,49.98125702861427,0,0,0,-,-,-,24.708135153499292
20001,Valledupar,1,57,58,1,4,5,-,-,-,63,1.0988890231975474,33.840947546531304,22.356188038668495,1.152073732718894,2.1422450728363325,1.8280198888563908,-,-,-,11.820863260756987
27,Chocó,12,183,195,3,12,15,-,-,-,210,10.99313844941782,114.6243078696164,72.54167426184196,2.8580955556614107,7.01803635342831,5.435708254666555,-,-,-,38.548802784324955
27006,Acandí,1,4,5,-,-,-,-,-,-,5,36.84598378776713,92.42144177449168,71.0025560920193,0,0,0,-,-,-,35.31322833533442
27050,Atrato,-,3,3,-,1,1,-,-,-,4,0,157.31515469323546,95.69377990430623,0,48.05382027871216,32.54149040026033,-,-,-,64.43298969072166
27075,Bahía Solano,-,2,2,-,-,-,-,-,-,2,0,61.95786864931846,38.40245775729647,0,0,0,-,-,-,19.457145636735092
27099,Bojayá,-,3,3,-,-,-,-,-,-,3,0,93.66219169528567,47.785919082510354,0,0,0,-,-,-,24.33879604088918
27150,Carmen del Darién,-,4,4,-,1,1,-,-,-,5,0,67.49915626054674,39.10450679440805,0,19.06941266209001,10.775862068965518,-,-,-,25.629196780972887
27135,El Cantón del San Pablo,-,1,1,-,-,-,-,-,-,1,0,55.09641873278236,32.49918752031199,0,0,0,-,-,-,15.90836780146357
27245,El Carmen de Atrato,-,3,3,-,-,-,-,-,-,3,0,113.98176291793312,73.69196757553426,0,0,0,-,-,-,36.53190452995616
27361,Istmina,-,4,4,-,1,1,-,-,-,5,0,43.797218876601335,26.908846283215606,0,9.722897423432181,6.273132174894926,-,-,-,16.23060442770889
27413,Lloró,-,1,1,-,-,-,-,-,-,1,0,38.109756097560975,20.07226013649137,0,0,0,-,-,-,10.087763542822556
27425,Medio Atrato,-,4,4,-,1,1,-,-,-,5,0,114.97556769186548,70.8215297450425,0,28.901734104046245,18.93222264293828,-,-,-,45.74565416285453
27430,Medio Baudó,-,1,1,-,-,-,-,-,-,1,0,23.19647413593134,12.682308180088777,0,0,0,-,-,-,6.376331059108589
27450,Medio San Juan,-,3,3,-,-,-,-,-,-,3,0,95.84664536741214,57.066768118698874,0,0,0,-,-,-,27.71106595233697
27491,Nóvita,-,2,2,-,-,-,-,-,-,2,0,72.17610970768675,43.96570674873599,0,0,0,-,-,-,21.965952773201536
27495,Nuquí,-,-,-,-,1,1,-,-,-,1,0,0,0,0,21.602937999567942,11.993283761093787,-,-,-,6.008893161879582
27001,Quibdó,11,136,147,3,4,7,-,-,-,154,45.42263699054383,375.88789696249415,243.3855425676347,12.355339565915736,8.668140250509254,9.939369843951894,-,-,-,117.71450410854195
27600,Río Quito,-,1,1,-,3,3,-,-,-,4,0,42.69854824935952,24.900398406374503,0,105.3740779768177,67.68953068592057,-,-,-,47.34848484848485
27615,Riosucio,-,6,6,-,-,-,-,-,-,6,0,29.73535533749628,20.15384098619462,0,0,0,-,-,-,10.86326767091541
27660,San José del Palmar,-,3,3,-,-,-,-,-,-,3,0,187.5,117.55485893416929,0,0,0,-,-,-,60.47167909695626
27800,Unguía,-,1,1,-,-,-,-,-,-,1,0,25.303643724696357,15.126304643775526,0,0,0,-,-,-,7.799095304944626
27810,Unión Panamericana,-,1,1,-,-,-,-,-,-,1,0,45.02476361999099,29.291154071470416,0,0,0,-,-,-,14.322543683758235
23,Córdoba,6,213,219,1,21,22,-,-,-,241,2.0064809334149305,34.88349241079325,24.07559075893078,0.34962467790826546,3.316011122848738,2.393093965922342,-,-,-,13.176981071622086
23090,Canalete,-,-,-,-,1,1,-,-,-,1,0,0,0,0,20.408163265306122,13.197835554968986,-,-,-,6.477942605428517
23162,Cereté,-,3,3,-,1,1,-,-,-,4,0,7.992540295723991,5.661125054252448,0,2.475431343911677,1.8045329868629998,-,-,-,3.689730557426044
23168,Chimá,-,1,1,-,-,-,-,-,-,1,0,15.18141794443601,10.884946119516709,0,0,0,-,-,-,5.585032113934655
23182,Chinú,-,4,4,-,-,-,-,-,-,4,0,22.411474675033617,16.159657415262796,0,0,0,-,-,-,8.214564422721486
23300,Cotorra,1,5,6,-,-,-,-,-,-,6,33.93281303020021,73.11010381634742,61.31207847946045,0,0,0,-,-,-,30.692107013146455
23350,La Apartada,-,4,4,-,-,-,-,-,-,4,0,80.30515960650472,52.34231876472127,0,0,0,-,-,-,26.284662899198317
23417,Lorica,-,12,12,-,1,1,-,-,-,13,0,30.757400999615534,21.180831347630395,0,2.404539771087814,1.7005067510118015,-,-,-,11.259213067615905
23419,Los Córdobas,-,3,3,-,1,1,-,-,-,4,0,46.46120489391358,30.469226081657528,0,16.207455429497568,10.561892691170257,-,-,-,20.710365537951745
23464,Momil,-,4,4,-,-,-,-,-,-,4,0,57.142857142857146,39.880358923230304,0,0,0,-,-,-,19.88368046925486
23466,Montelíbano,-,46,46,1,2,3,-,-,-,49,0,172.9388322869281,109.36757013789824,6.683598449405159,6.929286629941448,6.845407872219053,-,-,-,57.05303603656051
23001,Montería,1,67,68,-,7,7,-,-,-,75,1.3140777145560387,39.56537144206921,27.705458382734612,0,3.748848567939847,2.69339540968468,-,-,-,14.841669074315206
23500,Moñitos,-,2,2,-,-,-,-,-,-,2,0,20.261371694863744,12.888258796236629,0,0,0,-,-,-,6.540222367560497
23555,Planeta Rica,-,2,2,-,-,-,-,-,-,2,0,9.369875849144998,6.28002637611078,0,0,0,-,-,-,3.0875632950475485
23570,Pueblo Nuevo,-,1,1,-,-,-,-,-,-,1,0,8.065817067268915,5.406574394463668,0,0,0,-,-,-,2.7407772844378666
23574,Puerto Escondido,-,1,1,-,-,-,-,-,-,1,0,12.146240738491437,7.951021706289258,0,0,0,-,-,-,4.104416351994746
23580,Puerto Libertador,1,18,19,-,1,1,-,-,-,20,11.46788990825688,130.89957094029523,84.55342441368876,0,7.7651809287156395,4.738887309259786,-,-,-,45.89998393500562
23586,Purísima de la Concepción,-,1,1,-,-,-,-,-,-,1,0,16.661112962345886,11.239743733842868,0,0,0,-,-,-,5.686018081537499
23660,Sahagún,-,17,17,-,3,3,-,-,-,20,0,44.41425436304734,31.08770389876381,0,7.5542013950091915,5.4006372751984735,-,-,-,18.143387188954307
23670,San Andrés de Sotavento,-,1,1,-,-,-,-,-,-,1,0,6.246096189881324,4.008337341670675,0,0,0,-,-,-,2.0815120103242997
23672,San Antero,1,3,4,-,-,-,-,-,-,4,16.43115346697338,26.626431170675428,23.05076931942604,0,0,0,-,-,-,11.41715427429713
23678,San Carlos,-,-,-,-,1,1,-,-,-,1,0,0,0,0,10.908694229300753,7.462129691814044,-,-,-,3.653902367728734
23682,San José de Uré,2,11,13,-,1,1,-,-,-,14,67.81959986436081,257.67158585148746,180.1052923247437,0,25.91344908007256,15.16070345664039,-,-,-,101.34646011292891
23686,San Pelayo,-,1,1,-,-,-,-,-,-,1,0,5.203455094182537,3.73594351253409,0,0,0,-,-,-,1.8870060761595653
23807,Tierralta,-,4,4,-,2,2,-,-,-,6,0,13.80548077586802,8.325354868251258,0,7.004027315706531,4.2434915448430965,-,-,-,6.30404404425439
23815,Tuchín,-,2,2,-,-,-,-,-,-,2,0,12.023566189731875,7.047464674583319,0,0,0,-,-,-,3.6391426179992
25,Cundinamarca,24,282,306,2,32,34,-,-,-,340,5.276812805065741,24.566450069561387,19.092459289698123,0.4606893755816204,2.653091680899398,2.072826945774847,-,-,-,10.484122875153524
25001,Agua de Dios,-,-,-,-,1,1,-,-,-,1,0,0,0,0,19.573302016050107,15.693659761456372,-,-,-,8.113590263691684
25019,Albán,-,1,1,-,-,-,-,-,-,1,0,38.52080123266564,28.17695125387433,0,0,0,-,-,-,14.536996656490768
25599,Apulo,-,3,3,-,-,-,-,-,-,3,0,91.6030534351145,66.72597864768683,0,0,0,-,-,-,34.2974734194581
25053,Arbeláez,-,1,1,-,-,-,-,-,-,1,0,23.719165085388994,17.95654516071108,0,0,0,-,-,-,9.124920156948626
25123,Cachipay,-,2,2,-,-,-,-,-,-,2,0,49.04364884747425,36.717459151826695,0,0,0,-,-,-,18.68634962160142
25126,Cajicá,1,2,3,-,-,-,-,-,-,3,7.754342431761787,6.30715862503942,6.725552616239968,0,0,0,-,-,-,3.226951498918971
25151,Cáqueza,-,1,1,-,-,-,-,-,-,1,0,15.537600994406462,10.964912280701755,0,0,0,-,-,-,5.5691690799732685
25175,Chía,-,5,5,-,-,-,-,-,-,5,0,9.342476503671593,6.930583277888668,0,0,0,-,-,-,3.3429163602326666
25178,Chipaque,-,1,1,-,-,-,-,-,-,1,0,27.870680044593087,19.61553550411926,0,0,0,-,-,-,9.942334460131239
25183,Chocontá,-,2,2,-,-,-,-,-,-,2,0,26.528717336516777,17.909913136921286,0,0,0,-,-,-,8.977466558937069
25214,Cota,-,1,1,-,-,-,-,-,-,1,0,7.823501799405413,5.5060015416804315,0,0,0,-,-,-,2.703287197231834
25245,El Colegio,-,2,2,-,-,-,-,-,-,2,0,20.73828287017835,15.52312946289972,0,0,0,-,-,-,7.640586797066015
25260,El Rosal,-,1,1,-,-,-,-,-,-,1,0,11.810558639423645,8.01538954793203,0,0,0,-,-,-,4.037467700258398
25269,Facatativá,1,8,9,-,1,1,-,-,-,10,4.597067071208569,14.682401306733716,11.80482686253935,0,1.7074170195328506,1.2541072010835488,-,-,-,6.41116054828245
25279,Fómeque,-,1,1,-,-,-,-,-,-,1,0,21.44082332761578,15.202189115232594,0,0,0,-,-,-,7.810669374365383
25286,Funza,-,1,1,-,-,-,-,-,-,1,0,2.6944736345754854,1.9548049104699352,0,0,0,-,-,-,0.9516015454009097
25290,Fusagasugá,2,12,14,-,2,2,-,-,-,16,10.530749789385004,21.775027672431,18.893132346392086,0,3.2195750160978753,2.498688188700932,-,-,-,10.379971844326372
25295,Gachancipá,-,1,1,-,-,-,-,-,-,1,0,15.05797319680771,10.339123242349048,0,0,0,-,-,-,5.161023947151114
25307,Girardot,2,25,27,-,2,2,-,-,-,29,14.809329877823028,62.65664160401002,50.55706394532347,0,4.590419793890152,3.546916842534627,-,-,-,26.413582046050713
25312,Granada,-,1,1,-,-,-,-,-,-,1,0,37.35524841240194,25.31645569620253,0,0,0,-,-,-,12.608750472828143
25317,Guachetá,-,1,1,-,-,-,-,-,-,1,0,21.017234131988232,13.814062715844731,0,0,0,-,-,-,7.021978793624044
25320,Guaduas,-,5,5,-,-,-,-,-,-,5,0,34.70053438822958,27.316433566433567,0,0,0,-,-,-,15.054799470071059
25324,Guataquí,-,1,1,-,-,-,-,-,-,1,0,91.40767824497257,69.58942240779402,0,0,0,-,-,-,36.075036075036074
25335,Guayabetal,-,2,2,-,1,1,-,-,-,3,0,85.03401360544217,57.306590257879655,0,47.1253534401508,30.731407498463426,-,-,-,44.48398576512455
25386,La Mesa,-,3,3,-,-,-,-,-,-,3,0,21.93784277879342,16.506189821182943,0,0,0,-,-,-,8.303578842481109
25394,La Palma,-,1,1,-,-,-,-,-,-,1,0,25.54931016862545,19.6811651249754,0,0,0,-,-,-,10.193679918450561
25398,La Peña,-,2,2,-,-,-,-,-,-,2,0,76.92307692307692,59.55926146515784,0,0,0,-,-,-,32.81378178835111
