CASOS Y TASAS X 100.00 HABITANTES",VIOLENTA - HOMICIDIO (CASOS),VIOLENTA - HOMICIDIO (CASOS).1,VIOLENTA - HOMICIDIO (CASOS).2,VIOLENTA - HOMICIDIO (CASOS).3,VIOLENTA - HOMICIDIO (CASOS).4,VIOLENTA - HOMICIDIO (CASOS).5,VIOLENTA - HOMICIDIO (CASOS).6,VIOLENTA - HOMICIDIO (CASOS).7,VIOLENTA - HOMICIDIO (CASOS).8,VIOLENTA - HOMICIDIO (CASOS).9,VIOLENTA - HOMICIDIO (TASAS),VIOLENTA - HOMICIDIO (TASAS).1,VIOLENTA - HOMICIDIO (TASAS).2,VIOLENTA - HOMICIDIO (TASAS).3,VIOLENTA - HOMICIDIO (TASAS).4,VIOLENTA - HOMICIDIO (TASAS).5,VIOLENTA - HOMICIDIO (TASAS).6,VIOLENTA - HOMICIDIO (TASAS).7,VIOLENTA - HOMICIDIO (TASAS).8,VIOLENTA - HOMICIDIO (TASAS).9
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),Indeterminado (Tasa x 100.000 Hab.),Indeterminado (Tasa x 100.000 Hab.),INDETERMINADO (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,(TASA X 100.000 HAB.)
8685,Santo Tomás,-,-,-,-,1,1,-,-,-,1,0,0,0,0,8.61178091629349,6.172839506172839,-,-,-,3.125
8758,Soledad,3,135,138,1,12,13,-,-,-,151,2.8337174594778403,61.83328829427149,42.56671098128607,0.9922406778988312,4.999125153098208,3.814285378963923,-,-,-,22.706049884139
8832,Tubará,-,1,1,-,-,-,-,-,-,1,0,14.520110352838682,10.273268954181221,0,0,0,-,-,-,5.306165764618487
11,"Bogotá, D.C.",35,910,945,9,86,95,-,-,-,1040,3.855835807494643,32.498572384141696,25.486550383269172,1.0269998254100297,2.721710196096055,2.3537474260533084,-,-,-,13.429830106192508
11001,"Bogotá, D.C.",35,910,945,9,86,95,-,-,-,1040,3.855835807494643,32.498572384141696,25.486550383269172,1.0269998254100297,2.721710196096055,2.3537474260533084,-,-,-,13.429830106192508
13,Bolívar,18,368,386,3,25,28,-,-,-,414,4.979611258347765,51.10749099716548,35.69034465222718,0.8724201808236227,3.3087164827020303,2.546725593045984,-,-,-,18.98232717829082
13006,Achí,-,1,1,-,-,-,-,-,-,1,0,11.764705882352942,7.598206823189727,0,0,0,-,-,-,4.016064257028113
13042,Arenal,-,2,2,-,1,1,-,-,-,3,0,80.06405124099278,49.75124378109452,0,42.462845010615716,26.631158455392807,-,-,-,38.58520900321543
13052,Arjona,-,14,14,1,1,2,-,-,-,16,0,57.84884922110657,38.42037377535058,8.340283569641368,3.952412948104818,5.363224370491539,-,-,-,21.700800217008002
13074,Barranco de Loba,1,2,3,-,1,1,-,-,-,4,32.50975292587776,42.58037044922291,38.595137012736394,0,22.670596236681025,13.49892008639309,-,-,-,26.34872538040972
13001,Cartagena de Indias,8,213,221,-,12,12,-,-,-,233,5.110776071346434,62.91779037446423,44.640242067267394,0,3.126881014360201,2.24859322386432,-,-,-,22.649153913151675
13188,Cicuco,-,1,1,-,-,-,-,-,-,1,0,22.588660492432798,13.83508577753182,0,0,0,-,-,-,6.9920290868410016
13222,Clemencia,-,5,5,-,-,-,-,-,-,5,0,100.1001001001001,63.97952655150352,0,0,0,-,-,-,32.35617679415
