 DIVIPOLA,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE ,Menores de Edad (<18 años)/Hombre/VIOLENCIA DE PAREJA (CASOS),Mayores de Edad (>18 años)/Hombre/VIOLENCIA DE PAREJA (CASOS),TOTAL/HOMBRE/VIOLENCIA DE PAREJA (CASOS),Menores de Edad (<18 años)/Mujer/VIOLENCIA DE PAREJA (CASOS),Mayores de Edad (>18 años)/Mujer/VIOLENCIA DE PAREJA (CASOS),TOTAL/MUJER/VIOLENCIA DE PAREJA (CASOS),/TOTAL/VIOLENCIA DE PAREJA (CASOS),Menores de Edad (<18 años)/Hombre (Tasa x 100.000 Hab.)/VIOLENCIA DE PAREJA (TASAS),Mayores de Edad (>18 años)/Hombre (Tasa x 100.000 Hab.)/VIOLENCIA DE PAREJA (TASAS),TOTAL/HOMBRE (TASA X 100.000 HAB.)/VIOLENCIA DE PAREJA (TASAS),Menores de Edad (<18 años)/Mujer (Tasa x 100.000 Hab.)/VIOLENCIA DE PAREJA (TASAS),Mayores de Edad (>18 años)/Mujer (Tasa x 100.000 Hab.)/VIOLENCIA DE PAREJA (TASAS),TOTAL/MUJER (TASA X 100.000 HAB.)/VIOLENCIA DE PAREJA (TASAS),(TASA X 100.000 HAB.)/TOTAL/VIOLENCIA DE PAREJA (TASAS)
44560,Manaure,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,7.754041794285271,5.7567209717345,2.983516073692847
44001,Riohacha,1.0,11.0,12.0,3.0,129.0,132.0,144.0,6.25,18.817572191049678,16.1169012571183,18.9262507097344,199.24626220190288,163.7818723245859,92.87266770288487
44650,San Juan del Cesar,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,46.633634508889536,38.6753686246072,19.80296054260112
44847,Uribia,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.6698114782841016,1.2969832170371716,0.6807351940095303
44855,Urumita,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,27.122321670735015,22.406453058480842,0.0,0.0,0.0,10.920607185759529
44874,Villanueva,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,30.49090354710845,25.0,12.862287772251758
47,Magdalena,1.0,56.0,57.0,23.0,594.0,617.0,674.0,0.8941664580278265,12.088374653268717,9.911474879627747,21.77288045741982,124.8219081361189,106.1023466330991,58.27400019885787
47030,Algarrobo,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,71.4796283059328,0.0,16.12123166209898,7.72379701861435
47053,Aracataca,0.0,1.0,1.0,2.0,9.0,11.0,12.0,0.0,7.7984870935038595,6.075703262652652,59.206631142687975,69.56252898438707,67.41848492277519,36.61327231121282
47058,Ariguaní,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.146103896103897,8.12281699293315,3.9541320680110714
47189,Ciénaga,1.0,10.0,11.0,2.0,94.0,96.0,107.0,10.074551682450132,25.00875306357225,22.038788267350537,21.45002145002145,224.78358601559137,187.71264322865747,105.88398282106596
47245,El Banco,0.0,2.0,2.0,1.0,22.0,23.0,25.0,0.0,9.097111667045713,7.208506037123806,18.23819077147547,99.92732558139535,83.63940506927524,45.25378321627688
47268,El Retén,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,78.23501799405415,61.327118851956335,30.18959062915107
47288,Fundación,0.0,2.0,2.0,4.0,26.0,30.0,32.0,0.0,9.343611305769679,7.292616226071102,69.46856547412295,113.1024882547416,104.36234606553955,56.96889854195225
47318,Guamal,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,11.331444759206798,9.209799226376866,4.476876930653177
47460,Nueva Granada,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,16.321201240411295,12.712941774726671,6.05766900896535
47555,Plato,0.0,0.0,0.0,1.0,32.0,33.0,33.0,0.0,0.0,0.0,20.112630732099756,160.20827075197758,132.28573719233546,64.5224362107733
47570,Puebloviejo,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,71.4796283059328,56.54737862509088,27.6384885695108
47605,Remolino,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,25.680534155110426,21.372088053002777,10.277492291880781
47707,Santa Ana,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.591286829513976,10.067451927917043,4.851307427351672
47001,Santa Marta,0.0,38.0,38.0,10.0,377.0,387.0,425.0,0.0,21.49309110242589,17.669569745976684,27.093662792272887,191.4745572468295,165.5246747247671,94.68410042307083
47745,Sitionuevo,0.0,1.0,1.0,0.0,6.0,6.0,7.0,0.0,10.338054378166028,8.295313148071338,0.0,66.8896321070234,53.323853537148956,30.033895396232893
47798,Tenerife,0.0,0.0,0.0,2.0,3.0,5.0,5.0,0.0,0.0,0.0,188.67924528301887,73.8552437223043,97.61811792268645,46.095694662118554
47960,Zapayán,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,28.050490883590463,22.56317689530686,0.0,0.0,0.0,11.78967224711153
47980,Zona Bananera,0.0,1.0,1.0,0.0,8.0,8.0,9.0,0.0,4.366049598323436,3.4266525031696538,0.0,35.6141209989761,28.046557285093254,15.596028211482142
50,Meta,2.0,152.0,154.0,38.0,1060.0,1098.0,1252.0,2.650656700197474,41.12320457982636,34.60098770092164,53.40754170707368,286.6267011700318,248.99653037621607,141.30223781211768
50006,Acacías,1.0,26.0,27.0,3.0,89.0,92.0,119.0,16.837851490149855,75.71124894441047,67.03078450844092,51.65289256198347,284.6633615864385,248.15903757451517,153.840187193774
50110,Barranca de Upía,0.0,3.0,3.0,3.0,22.0,25.0,28.0,0.0,144.50867052023122,114.15525114155251,539.568345323741,1077.375122428991,962.278675904542,535.7826253348641
50124,Cabuyaro,0.0,0.0,0.0,1.0,10.0,11.0,11.0,0.0,0.0,0.0,248.75621890547262,552.1811154058531,497.0628106642567,220.1761409127302
50150,Castilla la Nueva,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,156.4333202972233,127.57136022962844,61.73315842271781
50226,Cumaral,1.0,5.0,6.0,2.0,27.0,29.0,35.0,59.45303210463733,63.82435537401072,63.05170239596469,120.48192771084338,332.26679793256216,296.3417126507255,181.32835975546575
50245,El Calvario,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,204.08163265306123,154.79876160990713,70.07708479327259
50251,El Castillo,0.0,1.0,1.0,2.0,14.0,16.0,17.0,0.0,38.78975950349108,31.407035175879397,367.6470588235294,595.7446808510639,552.86800276434,279.6972688384337
