CÓDIGOS,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE ,Menores de Edad (<18 años)/Hombre/VIOLENCIA INTERPERSONAL (CASOS),Mayores de Edad (>18 años)/Hombre/VIOLENCIA INTERPERSONAL (CASOS),TOTAL/HOMBRE/VIOLENCIA INTERPERSONAL (CASOS),Menores de Edad (<18 años)/Mujer/VIOLENCIA INTERPERSONAL (CASOS),Mayores de Edad (>18 años)/Mujer/VIOLENCIA INTERPERSONAL (CASOS),TOTAL/MUJER/VIOLENCIA INTERPERSONAL (CASOS),/TOTAL/VIOLENCIA INTERPERSONAL (CASOS),Menores de Edad (<18 años)/Hombre (Tasa x 100.000 Hab.)/VIOLENCIA INTERPERSONAL (TASAS),Mayores de Edad (>18 años)/Hombre (Tasa x 100.000 Hab.)/VIOLENCIA INTERPERSONAL (TASAS),TOTAL/HOMBRE (TASA X 100.000 HAB.)/VIOLENCIA INTERPERSONAL (TASAS),Menores de Edad (<18 años)/Mujer (Tasa x 100.000 Hab.)/VIOLENCIA INTERPERSONAL (TASAS),Mayores de Edad (>18 años)/Mujer (Tasa x 100.000 Hab.)/VIOLENCIA INTERPERSONAL (TASAS),TOTAL/MUJER (TASA X 100.000 HAB.)/VIOLENCIA INTERPERSONAL (TASAS),(TASA X 100.000 HAB.)/TOTAL/VIOLENCIA INTERPERSONAL (TASAS)
5425,Maceo,-,3,3,-,-,-,3.0,0.0,107.10460549803642,73.117231294175,0.0,0.0,0.0,36.37245392822503
5440,Marinilla,-,2,2,-,1,1,3.0,0.0,8.435259384226065,5.991073300781835,0.0,3.908081913396905,2.8977108084613157,4.418717688126906
5001,Medellín,160,2162,2322,93,842,935,3257.0,55.43736617073323,238.84831364473467,194.50640857570548,33.290020510948125,79.41373423750554,69.79523496360571,128.56118833641744
5467,Montebello,-,3,3,-,5,5,8.0,0.0,118.34319526627219,88.99436369029962,0.0,206.01565718994644,152.90519877675843,120.46378557446168
5480,Mutatá,-,3,3,-,6,6,9.0,0.0,71.56488549618321,41.174855888004394,0.0,144.36958614051971,84.4713501337463,62.54777955382583
5495,Nechí,-,1,1,-,-,-,1.0,0.0,11.911852293031567,7.093204709887927,0.0,0.0,0.0,3.655772464721796
5490,Necoclí,1,1,2,1,6,7,9.0,10.7284626113078,8.028259473346179,9.184001469440235,11.323745895142112,44.41154700222057,31.332527639765452,20.39983680130559
5541,Peñol,-,9,9,2,5,7,16.0,0.0,116.55011655011656,84.61032245934004,69.1085003455425,60.69434328720563,62.881782249371184,73.49901235702146
5579,Puerto Berrío,3,74,77,5,47,52,129.0,50.951086956521735,510.45043802165964,377.728722099583,88.29242450997704,320.490964882373,255.80480125934673,316.8521111192985
5585,Puerto Nare,2,5,7,-,2,2,9.0,92.37875288683603,99.04912836767036,97.04699847497574,0.0,38.88780867198133,27.67400027674,62.32686980609418
5591,Puerto Triunfo,1,16,17,1,10,11,28.0,34.21142661648991,213.93234389624283,163.4301095943088,36.166365280289334,172.32465965879717,128.38468720821663,147.60147601476015
5604,Remedios,2,7,9,-,3,3,12.0,36.25815808556926,75.30930607853685,60.765647154142194,0.0,31.117104034851153,20.24564718585504,40.50086064328867
5607,Retiro,-,15,15,1,12,13,28.0,0.0,163.46992153443765,123.98743593982476,37.62227238525207,119.98800119988002,102.69373568212339,113.09932544330897
5615,Rionegro,4,56,60,3,21,24,84.0,24.1196333815726,104.62791697027447,85.58346527450897,19.215987701767872,36.66457154829248,32.927230819888045,58.74331270324137
5631,Sabaneta,3,60,63,1,17,18,81.0,35.27751646284102,184.9340401923314,153.85366806681645,12.426991425375917,43.605396809110964,38.271001211915035,92.06533228765302
5642,Salgar,2,13,15,2,11,13,28.0,76.65772326561901,198.1707317073171,163.594721343658,76.04562737642586,170.22593624264934,142.98284205895294,153.33223810306117
5647,San Andrés de Cuerquía,-,1,1,-,5,5,6.0,0.0,41.254125412541256,26.773761713520752,0.0,215.3316106804479,141.0039481105471,82.40626287597857
5649,San Carlos,1,18,19,-,15,15,34.0,41.00041000410004,320.6270039187745,235.93691791878803,0.0,274.0226525392766,193.34880123743233,215.0401619125925
5656,San Jerónimo,-,9,9,-,2,2,11.0,0.0,155.8711465188777,114.14077362079898,0.0,33.715441672285905,24.594195769798326,68.67703065492914
5658,San José de la Montaña,-,-,-,-,1,1,1.0,0.0,0.0,0.0,0.0,81.36696501220504,51.975051975051976,26.560424966799467
5660,San Luis,1,8,9,1,1,2,11.0,43.066322136089575,193.6108422071636,139.44840409048652,45.37205081669691,22.396416573348265,29.989503673714196,83.82229673093043
5664,San Pedro de los Milagros,-,20,20,-,8,8,28.0,0.0,256.8713074749551,181.1922449719152,0.0,92.66767056643114,67.52764412931545,122.350884859078
5665,San Pedro de Urabá,-,1,1,-,-,-,1.0,0.0,9.801999607920015,6.073858114674441,0.0,0.0,0.0,3.110710175132983
5667,San Rafael,1,13,14,-,5,5,19.0,43.38394793926247,235.12389220473867,178.70819504723002,0.0,86.44536652835407,63.86511687316388,121.30498627338314
5670,San Roque,-,22,22,1,10,11,33.0,0.0,286.90662493479397,201.4098690835851,31.5357931251971,133.2800213248034,103.0541502716882,152.7989998610918
