 DIVIPOLA,"COMPORTAMIENTO DE LAS LESIONES NO FATALES POR VIOLENCIA DE PAREJA EN COLOMBIA AÑO 2021

NÚMERO DE CASOS",VIOLENCIA DE PAREJA (CASOS),VIOLENCIA DE PAREJA (CASOS).1,VIOLENCIA DE PAREJA (CASOS).2,VIOLENCIA DE PAREJA (CASOS).3,VIOLENCIA DE PAREJA (CASOS).4,VIOLENCIA DE PAREJA (CASOS).5,VIOLENCIA DE PAREJA (CASOS).6,VIOLENCIA DE PAREJA (TASAS),VIOLENCIA DE PAREJA (TASAS).1,VIOLENCIA DE PAREJA (TASAS).2,VIOLENCIA DE PAREJA (TASAS).3,VIOLENCIA DE PAREJA (TASAS).4,VIOLENCIA DE PAREJA (TASAS).5,VIOLENCIA DE PAREJA (TASAS).6
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,(TASA X 100.000 HAB.)
81065,Arauquita,-,1,1,1,6,7,8,0,5.302226935312831,4.246825497940289,23.441162681669013,34.321015902070705,32.18686775795475,17.66199359752732
81220,Cravo Norte,-,-,-,-,2,2,2,0,0,0,0,143.67816091954023,121.06537530266344,58.39416058394161
81300,Fortul,-,-,-,-,7,7,7,0,0,0,0,108.2753286929621,86.14324390844205,43.39201586908009
81591,Puerto Rondón,-,-,-,-,1,1,1,0,0,0,0,61.16207951070336,50.226017076845814,24.563989191844755
81736,Saravena,-,8,8,2,64,66,74,0,39.09304143862393,31.751071598666456,42.13187276174426,291.21354142967647,246.96901661427933,142.52696456086287
81794,Tame,-,4,4,1,26,27,31,0,25.359792049705195,20.28809089064719,26.602819898909285,161.50071433008262,135.9653540134958,78.33425986758982
88,"Archipiélago de San Andrés, Providencia y Santa Catalina",-,22,22,-,80,80,102,0,97.99554565701558,84.00152730049638,0,319.7314256024939,278.7553573295237,185.8295833409244
88001,San Andrés,-,22,22,-,80,80,102,0,108.59907197156679,93.29940627650551,0,353.21647754867763,308.40400925212026,205.97738287560583
8,Atlántico,-,124,124,37,1363,1400,1524,0,13.290802764486976,11.095442278645926,20.612239213392385,133.91984263681587,116.93190720952026,65.83568553351529
8078,Baranoa,-,4,4,-,40,40,44,0,16.909744240118368,14.12728685455958,0,165.2960866151494,139.32913023790448,77.16184697402802
8001,Barranquilla,-,72,72,23,844,867,939,0,16.303240269003464,13.773182465973544,28.947567145769877,169.40749527806716,150.08802740707785,85.3313655926486
8137,Campo de la Cruz,-,-,-,-,2,2,2,0,0,0,0,24.993751562109473,20.614306328592043,10.370754472387866
8296,Galapa,-,4,4,-,29,29,33,0,17.872302399356595,14.545454545454545,0,125.22129625631504,103.91658006951661,59.55926146515784
8372,Juan de Acosta,-,1,1,-,3,3,4,0,12.100677637947726,10.122482032594393,0,37.95066413662239,31.962497336458558,20.763041785621592
8421,Luruaco,-,-,-,-,3,3,3,0,0,0,0,29.362826661446608,24.009603841536617,12.062241164408347
8433,Malambo,-,8,8,4,78,82,90,0,17.0528424956835,13.92515230635335,39.22722369324311,160.78827482426667,139.67432036519725,77.48067287659912
8436,Manatí,-,1,1,1,1,2,3,0,14.448779078167894,11.492931846914148,60.132291040288635,14.526438117373619,23.4000234000234,17.393320964749535
8520,Palmar de Varela,-,1,1,-,3,3,4,0,9.106638739641198,7.6411706273401085,0,27.235587834770765,22.8675966155957,15.263680073265663
8549,Piojó,-,-,-,-,1,1,1,0,0,0,0,42.08754208754208,35.486160397445,16.744809109176156
8558,Polonuevo,-,1,1,-,5,5,6,0,14.613473622680111,12.05254911413764,0,73.96449704142012,60.856864654333016,36.33500878096046
8560,Ponedera,-,-,-,-,8,8,8,0,0,0,0,94.80919649205973,77.32456988208003,38.07529389367474
8573,Puerto Colombia,-,2,2,-,11,11,13,0,10.712946595961219,8.994018977380042,0,53.551433717929996,45.93093657355213,28.1470575499069
8606,Repelón,-,1,1,1,6,7,8,0,10.760787689658883,8.70473537604457,47.61904761904762,62.454460289372335,59.79328606816435,34.490191851692174
8634,Sabanagrande,-,1,1,-,9,9,10,0,8.220304151253597,6.8296680781314025,0,73.1409995936611,60.87662337662338,33.983551960850946
8638,Sabanalarga,-,6,6,2,39,41,47,0,17.771459036786922,14.637716516223469,28.914269191846174,110.54735111539443,97.16560811451323,56.49989180871781
8675,Santa Lucía,-,-,-,-,1,1,1,0,0,0,0,17.400382808421785,14.082523588227009,7.1372493041181935
8685,Santo Tomás,-,-,-,-,10,10,10,0,0,0,0,84.11136344520145,71.4898484415213,36.43650938240117
8758,Soledad,-,22,22,6,266,272,294,0,9.833632812150794,8.148842308789268,13.343711775825641,108.30177924351615,93.60750236599846,52.44830096048181
8770,Suan,-,-,-,-,1,1,1,0,0,0,0,22.97266253158741,18.907165815844206,9.68710646130001
8832,Tubará,-,-,-,-,2,2,2,0,0,0,0,30.91667954861648,25.977399662293802,12.561236025624922
8849,Usiacurí,-,-,-,-,1,1,1,0,0,0,0,21.70138888888889,18.2882223847842,8.903926631644556
11,"Bogotá, D.C.",3,1489,1492,97,6970,7067,8559,0.7415903652579745,52.23086110765205,45.8323720925089,24.68501161722454,216.91656679271895,195.96979397521136,124.7393248336481
11001,"Bogotá, D.C.",3,1489,1492,97,6970,7067,8559,0.7415903652579745,52.23086110765205,45.8323720925089,24.68501161722454,216.91656679271895,195.96979397521136,124.7393248336481
13,Bolívar,-,44,44,11,705,716,760,0,5.9881380429131745,4.9211717757377285,7.291480236774249,91.45985496153497,77.68330167051647,41.85512948379959
13006,Achí,-,-,-,-,1,1,1,0,0,0,0,13.231013495633764,10.66894270777766,4.982809307887787
13030,Altos del Rosario,-,-,-,-,2,2,2,0,0,0,0,60.679611650485434,46.68534080298787,22.101889711570337
13052,Arjona,-,1,1,-,14,14,15,0,4.05038681194054,3.325905477766322,0,54.18795479176343,44.93804968864352,24.501396579605036
13062,Arroyohondo,-,-,-,-,2,2,2,0,0,0,0,66.97923643670462,55.865921787709496,27.897893709024967
13074,Barranco de Loba,-,1,1,-,1,1,2,0,20.907380305247752,16.278691193228063,0,22.20741727737064,17.325017325017324,16.78556441460344
13140,Calamar,-,-,-,-,1,1,1,0,0,0,0,12.830382345393893,10.540739959945189,5.267316302343956
13160,Cantagallo,-,-,-,-,2,2,2,0,0,0,0,75.18796992481204,60.44122091266244,28.17298211015636
13001,Cartagena de Indias,-,33,33,8,539,547,580,0,9.546677466948244,7.965069549539112,12.11772368560566,137.6963578163759,119.57329602588204,66.53138618143109
13188,Cicuco,-,-,-,-,4,4,4,0,0,0,0,88.41732979664013,70.31112673580594,35.075412136092595
13222,Clemencia,-,-,-,-,5,5,5,0,0,0,0,100.30090270812437,81.20838070488875,40.15096763832008
13212,Córdoba,-,-,-,-,1,1,1,0,0,0,0,19.18281220026856,15.686274509803923,7.354022650389763
13244,El Carmen de Bolívar,-,-,-,-,13,13,13,0,0,0,0,54.84075089643535,45.11852288897373,21.78466694595727
13248,El Guamo,-,-,-,-,1,1,1,0,0,0,0,32.754667540124466,27.685492801771872,13.05653479566523
13268,El Peñón,-,-,-,-,1,1,1,0,0,0,0,41.18616144975288,32.74394237066143,15.513496742165684
13300,Hatillo de Loba,-,-,-,1,1,2,2,0,0,0,90.41591320072332,25.66735112936345,39.98400639744102,19.282684149633628
13430,Magangué,-,7,7,-,53,53,60,0,15.052792292970347,12.178572671282925,0,110.60100166944908,90.94184869335437,51.83271853969955
13433,Mahates,-,-,-,-,3,3,3,0,0,0,0,30.475416497358797,25.161452654533257,12.242899118511264
13440,Margarita,-,-,-,-,1,1,1,0,0,0,0,27.739251040221912,22.789425706472198,10.840108401084011
13442,María la Baja,-,-,-,-,7,7,7,0,0,0,0,44.3711967545639,35.88271478367849,17.89915106883502
13468,Mompós,-,-,-,-,5,5,5,0,0,0,0,31.887755102040813,25.955149501661133,13.163437236731255
13473,Morales,-,-,-,-,1,1,1,0,0,0,0,14.473874656245476,11.65093790050099,5.387060281204547
13600,Río Viejo,-,-,-,-,2,2,2,0,0,0,0,58.97965202005308,48.49660523763337,22.851919561243143
13654,San Jacinto,-,-,-,1,4,5,5,0,0,0,58.27505827505828,47.864066052411154,49.63764519011219,24.20135527589545
13657,San Juan Nepomuceno,-,-,-,-,5,5,5,0,0,0,0,37.136066547831255,31.25,15.242043653213022
13667,San Martín de Loba,-,-,-,1,4,5,5,0,0,0,86.95652173913044,88.43687817820032,88.13678829543451,42.24757076468103
13670,San Pablo,-,-,-,-,2,2,2,0,0,0,0,22.550456646747094,17.77777777777778,8.758101243650378
13673,Santa Catalina,-,1,1,-,1,1,2,0,20.34587995930824,16.50437365901964,0,19.32367149758454,15.92103168285305,16.207455429497568
13688,Santa Rosa del Sur,-,-,-,-,1,1,1,0,0,0,0,9.372949667260286,7.413447994662318,3.607113227284205
13683,Santa Rosa,-,-,-,-,4,4,4,0,0,0,0,51.975051975051976,42.643923240938165,21.614611477358693
13760,Soplaviento,-,-,-,-,1,1,1,0,0,0,0,25.214321734745337,21.41327623126338,10.856584518510477
13810,Tiquisio,-,-,-,-,2,2,2,0,0,0,0,38.528221922558274,29.52465308532625,13.875398917718885
13836,Turbaco,-,1,1,-,13,13,14,0,2.567591855598634,2.130742350634961,0,31.407793964871587,26.51924685338936,14.590476587495962
13838,Turbaná,-,-,-,-,2,2,2,0,0,0,0,33.288948069241016,27.92126204104426,13.708019191226866
13873,Villanueva,-,-,-,-,4,4,4,0,0,0,0,49.13401302051345,39.793076004775166,19.381723035177828
13894,Zambrano,-,-,-,-,2,2,2,0,0,0,0,51.37426149499101,42.19409282700422,19.652156824211456
15,Boyacá,-,145,145,17,878,895,1040,0,33.08991328160657,27.87491277074711,22.354890461036742,187.91762444726962,164.7425230823602,97.79463690449883
15047,Aquitania,-,-,-,-,2,2,2,0,0,0,0,38.07348181991243,31.68065895770632,15.56783684906982
15051,Arcabuco,-,-,-,-,1,1,1,0,0,0,0,47.01457451810061,39.69829297340214,19.94415636218588
15087,Belén,-,-,-,-,7,7,7,0,0,0,0,239.64395754878467,205.64042303172738,108.17493432236131
15092,Betéitiva,-,-,-,-,1,1,1,0,0,0,0,130.718954248366,114.67889908256882,59.06674542232723
15104,Boyacá,-,-,-,-,1,1,1,0,0,0,0,56.33802816901409,47.48338081671415,22.93052052281587
