 DIVIPOLA,"COMPORTAMIENTO DE LAS LESIONES NO FATALES POR VIOLENCIA INTERPERSONAL EN COLOMBIA AÑO 2021

CASOS Y TASAS X 100.00 HABITANTES",VIOLENCIA INTERPERSONAL (CASOS),VIOLENCIA INTERPERSONAL (CASOS).1,VIOLENCIA INTERPERSONAL (CASOS).2,VIOLENCIA INTERPERSONAL (CASOS).3,VIOLENCIA INTERPERSONAL (CASOS).4,VIOLENCIA INTERPERSONAL (CASOS).5,VIOLENCIA INTERPERSONAL (CASOS).6,VIOLENCIA INTERPERSONAL (TASAS),VIOLENCIA INTERPERSONAL (TASAS).1,VIOLENCIA INTERPERSONAL (TASAS).2,VIOLENCIA INTERPERSONAL (TASAS).3,VIOLENCIA INTERPERSONAL (TASAS).4,VIOLENCIA INTERPERSONAL (TASAS).5,VIOLENCIA INTERPERSONAL (TASAS).6
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,(TASA X 100.000 HAB.)
85315,Sácama,-,1,1,-,-,-,1,0,139.86013986013987,94.6073793755913,0,0,0,48.12319538017324
85400,Támara,-,3,3,-,3,3,6,0,135.9927470534905,85.39709649871904,0,154.0041067761807,96.33911368015414,90.53870529651427
85410,Tauramena,1,24,25,2,9,11,36,22.93577981651376,283.1524303916942,194.76472421315052,48.12319538017324,106.91375623663579,87.48210593287737,141.67650531286895
85430,Trinidad,-,6,6,-,3,3,9,0,137.33119707026782,87.3743993010048,0,69.58942240779402,44.736057262153295,66.30811169233037
85440,Villanueva,-,2,2,-,4,4,6,0,16.02307322544464,10.83364931477168,0,32.30234999596221,22.15330084182543,16.430703507955197
85001,Yopal,34,278,312,17,135,152,464,125.1933132042124,452.51814955887613,352.17626873758354,63.79226237382266,210.56243566147796,167.46912288046892,258.70480332301855
19,Cauca,32,660,692,27,416,443,1135,14.296564356877989,127.03178681756502,93.08770018227432,12.556854647431425,76.24116399730956,58.23897436301943,75.46321783139322
19022,Almaguer,-,-,-,-,1,1,1,0,0,0,0,14.721036360959813,10.849517196484756,5.457919441109049
19050,Argelia,-,5,5,-,1,1,6,0,50.3119339907426,35.56187766714083,0,11.280315848843767,7.849293563579278,22.388059701492537
19075,Balboa,-,2,2,-,2,2,4,0,25.80312217778351,18.477457501847745,0,25.641025641025642,18.5459940652819,18.511662347278786
19100,Bolívar,1,8,9,1,3,4,13,21.06593638087213,56.62914985488781,47.68464554413479,22.831050228310502,21.375133594584966,21.721422753190332,34.8628281798922
19110,Buenos Aires,-,8,8,-,4,4,12,0,75.03986492824313,49.81940465811433,0,35.85514521333812,24.610841075493752,37.13905481105506
19130,Cajibío,-,13,13,-,7,7,20,0,85.1231011000524,58.94889584183557,0,47.23028135753323,33.12825366777094,46.314521918347495
19137,Caldono,1,9,10,-,-,-,10,12.581781580271766,66.8896321070234,46.722422090361164,0,0,0,23.746200607902736
19142,Caloto,1,9,10,1,5,6,16,20.938023450586265,86.80555555555556,66.03275224511358,22.396416573348265,46.091445427728615,39.18239404427611,52.53307942344945
19212,Corinto,-,6,6,-,2,2,8,0,65.85446163977609,46.601941747572816,0,21.862702229995627,15.664160401002505,31.197597784970558
19256,El Tambo,-,6,6,-,2,2,8,0,29.598934438360217,21.627077100529863,0,10.356255178127588,7.560007560007561,14.760692276467765
19290,Florencia,-,1,1,-,1,1,2,0,50.30181086519115,36.603221083455345,0,50.99439061703213,38.255547054322875,37.41114852225963
19300,Guachené,1,8,9,1,10,11,20,34.96503496503497,123.02014454866985,96.12303748798462,34.746351633078525,125.96044841919638,101.69178145511694,99.10802775024777
19318,Guapí,-,4,4,-,6,6,10,0,49.02561588429955,28.901734104046245,0,68.98930665746809,42.622717908645306,35.82046781530966
19355,Inzá,-,2,2,-,-,-,2,0,20.98635886673662,13.354700854700855,0,0,0,6.7383174421347
19392,La Sierra,-,1,1,-,1,1,2,0,24.2600679281902,18.25150574922431,0,25.614754098360656,19.007793195210038,18.6219739292365
19397,La Vega,-,2,2,-,2,2,4,0,21.675517502980384,15.864202427222972,0,22.217285047767163,16.350555918901243,16.10370787873908
19450,Mercaderes,-,6,6,-,5,5,11,0,69.14832315316353,51.20327700972862,0,57.142857142857146,43.23763403666552,47.24680010308393
19455,Miranda,-,17,17,-,10,10,27,0,149.7665403929169,107.66307789740343,0,81.92692118630183,60.40836051709556,83.47761563195647
19473,Morales,-,-,-,1,3,4,4,0,0,0,14.695077149155033,22.70491182925906,19.98201618543311,9.898050084133425
19513,Padilla,-,5,5,-,6,6,11,0,147.5361463558572,105.26315789473684,0,151.17157974300832,112.73957158962796,109.21366163621923
19532,Patía,1,11,12,-,13,13,25,19.120458891013385,83.95024040296116,65.45573555882834,0,90.96634245329228,66.80369989722507,66.14981610351123
19533,Piamonte,-,1,1,-,3,3,4,0,31.806615776081426,20.802995631370916,0,109.64912280701753,66.25441696113074,42.849491162292445
19548,Piendamó,-,15,15,-,4,4,19,0,100.80645161290322,71.95625059963541,0,25.768214906912323,18.75029297332771,45.04611299461817
19001,Popayán,15,361,376,17,197,214,590,38.35238168290251,304.7416449295549,238.62107481024546,45.4654863469819,147.92455097014476,125.46389395369562,179.80185226382721
19573,Puerto Tejada,3,22,25,-,24,24,49,50.09183503088997,162.67376515823722,128.1197150617537,0,142.23908018728147,106.1336399416265,116.3177135260884
19585,Puracé,1,4,5,-,3,3,8,35.98416696653472,66.28003314001657,56.72793283412752,0,48.8360735796842,33.72681281618887,45.17476989101586
19622,Rosas,-,7,7,-,1,1,8,0,153.0054644808743,117.7856301531213,0,22.815423226100844,17.58087201125176,68.78170406671825
19693,San Sebastián,-,3,3,-,-,-,3,0,71.15749525616698,54.04431633939831,0,0,0,26.90582959641256
19698,Santander de Quilichao,4,67,71,3,58,61,132,24.24536307431204,171.73322397088225,127.9002738146707,19.42124684404739,134.99045757110272,104.42880865560748,115.86570111915735
19743,Silvia,2,19,21,2,8,10,31,30.945381401825774,151.08142493638678,110.29991070959609,32,61.1387084447841,51.719679337988104,80.78386407463387
19760,Sotara,-,1,1,-,1,1,2,0,18.98253606681853,14.05678942929435,0,18.681113394358302,13.865779256794234,13.96063102052213
19780,Suárez,-,1,1,-,7,7,8,0,8.940545373267769,6.038282712396594,0,63.65372374283895,43.127348900252606,24.39619419370578
19785,Sucre,1,1,2,-,-,-,2,74.01924500370096,27.800945232137895,40.42037186742118,0,0,0,20.51702913418137
19807,Timbío,1,21,22,-,17,17,39,21.181952976064395,156.86860386942556,121.49326264634416,0,121.79395328843674,92.01125784801906,106.60397988191559
19809,Timbiquí,-,2,2,-,1,1,3,0,26.44453259288642,14.772139744441981,0,12.933264355923434,7.527286413248024,11.184014315538324
19821,Toribío,-,1,1,1,2,3,4,0,8.18464560484531,5.364806866952789,16.043638697256537,16.500288755053212,16.345210853220006,10.812564199599935
19824,Totoró,-,4,4,-,3,3,7,0,48.24508503196237,30.990935151468197,0,35.41076487252125,23.23060244695679,27.10971689709926
19845,Villa Rica,-,7,7,-,3,3,10,0,101.17068940598352,70.32348804500704,0,35.252643948296125,25.978524419812956,46.50730164635848
20,Cesar,48,674,722,32,374,406,1128,20.446239169882688,161.13376971737043,110.5584888093984,14.186346528113349,84.26289120849658,60.64969869349196,85.29519851550059
20011,Aguachica,7,60,67,3,26,29,96,34.92491144040313,154.25750719868367,113.67685233885881,15.49266680437926,60.695193407568226,46.62304464558448,79.24715205547301
20013,Agustín Codazzi,3,26,29,1,25,26,55,25.46040906390563,122.04853776463409,87.65036571359488,8.688852202624034,116.69156086631814,78.9481674915738,83.3093503385389
20032,Astrea,-,6,6,-,2,2,8,0,88.92841262783459,54.605023662176926,0,30.670142616163165,19.027685282085436,37.21103307130564
20045,Becerril,-,1,1,-,1,1,2,0,14.013452914798206,8.300821781356355,0,14.19647927314026,8.513536523071684,8.405833648552095
20060,Bosconia,3,45,48,4,37,41,89,35.812343320997975,325.1680034684587,216.06049693914295,49.98750312421895,263.9651851323393,186.20282483309867,201.19814626427035
20175,Chimichagua,-,1,1,1,1,2,3,0,8.977466558937069,5.4209356534937925,14.009526478005045,8.774238834781084,10.790396547073104,8.112054513006328
20178,Chiriguaná,1,15,16,1,6,7,23,17.686593562079942,160.8234158893535,106.80194913557173,18.406037180195103,61.01281269066504,45.850527281063734,76.03808516265538
20228,Curumaní,-,10,10,-,2,2,12,0,79.26442612555486,49.766099333134264,0,15.063643895458311,9.805363533853019,29.63621545528636
20238,El Copey,-,1,1,-,3,3,4,0,9.795278675678324,6.188118811881188,0,29.086678301337987,18.57930265684028,12.381217692760082
20250,El Paso,-,12,12,-,5,5,17,0,99.1899487518598,57.97381516015267,0,39.15733416868979,23.79139703083365,40.75272683686923
20295,Gamarra,-,6,6,-,3,3,9,0,107.35373054213633,74.22986514907832,0,54.18096442116669,36.98680803846628,55.57613931085587
20383,La Gloria,-,8,8,-,4,4,12,0,126.40227524095434,82.54230293025176,0,66.13756613756614,43.7684648210964,63.724709256014016
20400,La Jagua de Ibirico,-,7,7,-,7,7,14,0,44.28978171464726,27.105517909002902,0,42.51184258472003,26.72775868652157,26.91531289051235
20621,La Paz,-,10,10,1,5,6,16,0,104.8767697954903,66.18571712224502,18.695083193120208,51.22950819672131,39.71143027334701,52.94857369779601
20443,Manaure Balcón del Cesar,-,9,9,-,1,1,10,0,242.00053777897287,160.85790884718497,0,27.59381898454746,18.298261665141812,90.41591320072332
20517,Pailitas,-,1,1,-,-,-,1,0,15.713387806411063,10.16053647632595,0,0,0,4.971661529283086
20550,Pelaya,-,-,-,-,2,2,2,0,0,0,0,26.939655172413794,17.661603673613563,8.78966335589347
20570,Pueblo Bello,-,6,6,-,2,2,8,0,74.83162883512097,39.53089998682304,0,25.936973155232785,13.444474321054047,26.6187529114261
20614,Río de Oro,1,4,5,1,4,5,10,36.3901018922853,62.102158049992234,54.41288497116117,38.03727653100038,63.04176516942475,55.71651437486071,55.05698397841766
20710,San Alberto,-,6,6,-,2,2,8,0,62.68937415108139,41.49377593360996,0,20.58672156459084,13.708019191226866,27.538726333907057
20750,San Diego,1,11,12,-,1,1,13,26.574541589157587,164.08114558472553,114.64603038119806,0,14.560279557367503,9.589566551591867,62.21584111031348
20770,San Martín,-,4,4,1,-,1,5,0,40.67934506254449,26.81324574339724,20,0,6.920894179527995,17.02591344025607
20787,Tamalameque,-,1,1,-,-,-,1,0,20.06823198876179,12.283503255128362,0,0,0,6.051437216338881
20001,Valledupar,32,424,456,19,235,254,710,34.8716831035798,244.7259819341433,172.06248585012452,21.74908424908425,122.55285417774857,91.0022428111811,130.48256495642616
27,Chocó,21,214,235,13,83,96,331,19.37752023105386,131.70284391982128,86.76068817839474,12.45688003066309,47.69977874199017,34.4870942826864,60.26673949656334
27006,Acandí,-,2,2,-,1,1,3,0,45.392646391284615,28.192839018889202,0,21.204410517387615,13.92757660167131,21.017234131988232
27025,Alto Baudó,-,2,2,-,-,-,2,0,25.31645569620253,14.093439503910929,0,0,0,7.0106561974200785
27050,Atrato,-,1,1,-,-,-,1,0,51.4668039114771,31.625553447185325,0,0,0,15.976993129892954
27073,Bagadó,-,2,2,-,-,-,2,0,65.96306068601582,35.4421407052986,0,0,0,17.613386173491854
27077,Bajo Baudó,-,2,2,-,1,1,3,0,23.353573096683792,12.953367875647668,0,11.523392486748097,6.5449309509784666,9.765942901787168
27099,Bojayá,2,3,5,-,-,-,5,65.46644844517185,91.74311926605505,79.05138339920948,0,0,0,40.23173479240425
27150,Carmen del Darién,-,1,1,-,-,-,1,0,16.526194017517767,9.68429207824908,0,0,0,5.083625641807737
27205,Condoto,-,7,7,-,7,7,14,0,196.8503937007874,118.80515953835709,0,159.05476028175414,106.46387832699621,112.29646266142618
27135,El Cantón del San Pablo,-,-,-,-,1,1,1,0,0,0,0,49.164208456243855,30.902348578491964,15.77784790154623
27245,El Carmen de Atrato,1,2,3,-,-,-,3,70.2247191011236,74.79431563201196,73.20644216691069,0,0,0,36.2406378352259
27361,Istmina,-,2,2,-,2,2,4,0,21.512315800795957,13.339558460614953,0,19.142419601837673,12.451749470800648,12.880373530832395
27372,Juradó,-,1,1,-,-,-,1,0,50.53057099545225,28.32058906825262,0,0,0,14.496955639315743
27413,Lloró,-,5,5,1,3,4,9,0,186.6368047779022,99.52229299363057,39.108330074305826,124.37810945273631,80.49909438518816,90.06304413089163
27425,Medio Atrato,-,1,1,-,-,-,1,0,28.169014084507044,17.52541184717841,0,0,0,9.073586788857636
27430,Medio Baudó,-,1,1,1,-,1,2,0,22.722108611679165,12.570710245128849,31.113876789047914,0,12.725884448969204,12.647821412761651
27450,Medio San Juan,-,1,1,-,-,-,1,0,31.367628607277286,18.87148518588413,0,0,0,9.160864785635765
27491,Nóvita,-,5,5,-,1,1,6,0,177.2421127259837,109.05125408942203,0,33.87533875338753,21.767522855899,65.36659766859134
27495,Nuquí,-,1,1,-,-,-,1,0,21.092596498628982,12.000480019200769,0,0,0,5.959475566150179
27001,Quibdó,15,159,174,11,55,66,240,62.375249500998,432.60597485987915,286.1747968816815,45.57696291692562,117.14839506698758,92.84789826121208,181.9753423411128
27580,Río Iró,-,1,1,-,-,-,1,0,62.189054726368155,36.06202668589975,0,0,0,17.7367860943597
27600,Río Quito,-,-,-,-,2,2,2,0,0,0,0,69.03693476009664,44.742729306487696,23.479690068091102
27615,Riosucio,1,-,1,-,1,1,2,10.509721492380452,0,3.329227286346839,0,5.926979611190138,3.89817955015008,3.5913090321422154
27745,Sipí,1,-,1,-,-,-,1,129.5336787564767,0,57.17552887364208,0,0,0,30.807147258163894
27787,Tadó,1,12,13,-,6,6,19,29.42041776993233,239.28215353938185,154.50439743285,0,95.58706388402102,62.21484861053505,105.21652453206335
27810,Unión Panamericana,-,3,3,-,3,3,6,0,132.80212483399734,87.1839581517001,0,122.90045063498567,83.35648791330925,85.22727272727272
23,Córdoba,51,458,509,34,321,355,864,17.066559582371248,74.1181877617602,55.521498491429625,11.906137613939986,50.01971181789708,38.28260977403555,46.85273275071093
23079,Buenavista,-,5,5,-,1,1,6,0,69.94963626189144,45.483489493313925,0,14.251104460595695,9.404683532399135,27.744381762693056
23090,Canalete,-,3,3,-,-,-,3,0,57.79233288383741,37.931470476672146,0,0,0,19.276489108783654
23162,Cereté,2,26,28,-,12,12,40,12.966804979253112,68.412051045915,52.405996743341625,0,29.328380095806043,21.478432074458567,36.59685815972699
23168,Chimá,-,1,1,-,-,-,1,0,15.044380923724988,10.807305738679347,0,0,0,5.539859287574095
23182,Chinú,4,18,22,3,5,8,30,57.94582065768506,99.7229916897507,88.1657516130325,45.37205081669691,28.527414845666684,33.14138945275281,61.1097531165974
23189,Ciénaga de Oro,-,16,16,-,4,4,20,0,74.41168263417357,51.993630780229424,0,18.682858477347033,13.226201104387792,32.778287662252524
23300,Cotorra,-,7,7,-,2,2,9,0,101.27314814814814,70.97232079489,0,27.689325764917626,20.30663011473246,45.65746753246753
23350,La Apartada,-,4,4,-,3,3,7,0,79.14523149980214,51.927820329741664,0,58.36575875486381,39.27215604136667,45.626385086690135
23417,Lorica,6,34,40,1,26,27,67,34.07155025553663,86.2047108339038,70.1127061751766,5.816997266011285,61.66690384706608,45.49053965258707,57.558159513418786
23419,Los Córdobas,-,1,1,-,-,-,1,0,15.353907569476432,10.088781275221953,0,0,0,5.134524543027315
23464,Momil,-,4,4,-,1,1,5,0,56.44137152532807,39.576531117047594,0,13.92757660167131,9.825112988799372,24.648755237860488
23466,Montelíbano,7,31,38,10,78,88,126,45.407368967306695,114.96384201743,89.66282060357236,67.02862122126147,266.1843497252841,198.995974854145,145.49149567566943
23001,Montería,23,193,216,15,134,149,365,30.347011479086948,112.39684822931288,87.27166943430989,20.632453473817417,70.76692332879158,56.858293106408965,71.63070739739146
23555,Planeta Rica,2,12,14,1,6,7,21,19.098548510313215,55.50159567087554,43.623220016826096,9.992006394884093,25.85761075676607,21.076719258099484,32.15680269504632
23570,Pueblo Nuevo,-,4,4,-,2,2,6,0,31.959092361776925,21.476510067114095,0,16.305233980107616,11.013822347045542,16.311439756415833
23574,Puerto Escondido,-,1,1,-,1,1,2,0,12.040939193257074,7.896399241945672,0,12.725884448969204,8.400537634408602,8.140670791273202
23580,Puerto Libertador,-,7,7,1,2,3,10,0,50.39959680322557,30.926924096492005,12.112403100775193,15.329194450831608,14.082523588227009,22.759860709652457
23586,Purísima de la Concepción,-,4,4,-,1,1,5,0,65.90871642774756,44.60800713728114,0,16.297262059973924,11.41031492469192,28.199199142744344
23660,Sahagún,6,38,44,1,23,24,68,36.61662394727207,98.16331275348092,79.85915748588853,6.3299151791365995,57.157057654075544,42.82808094507299,61.1868448283619
23670,San Andrés de Sotavento,-,6,6,-,4,4,10,0,37.062202730248934,23.83222116301239,0,27.294438758103038,17.198383351964914,20.646653177519923
23672,San Antero,1,15,16,-,2,2,18,16.4257555847569,131.6597910997981,91.5279446255935,0,16.49348507339601,11.206365215442371,50.951086956521735
23675,San Bernardo del Viento,-,2,2,-,2,2,4,0,16.193020808031736,10.679767181075453,0,15.75795776867318,10.72328561471235,10.701482155278505
23678,San Carlos,-,4,4,-,2,2,6,0,41.65364990107258,28.423221772187876,0,21.579628830384117,14.795088030773783,21.746221593998044
23682,San José de Uré,-,-,-,-,1,1,1,0,0,0,0,25.588536335721596,15.042117930204574,7.178750897343862
23686,San Pelayo,-,6,6,2,5,7,13,0,30.908716257984754,22.232103156958647,28.530670470756064,25.73472643985794,26.476039184537992,24.332266457034834
23807,Tierralta,-,10,10,-,1,1,11,0,34.11455668133593,20.663291662361814,0,3.4528002209792144,2.1018117617386185,11.461556896210393
23815,Tuchín,-,6,6,-,3,3,9,0,35.69941095971917,20.9570380719525,0,18.98614011771407,11.199044348215619,16.24021076184633
25,Cundinamarca,258,3294,3552,216,1818,2034,5586,55.11171871662323,274.8731402879409,213.13990726733877,48.30280491704664,144.45412945727995,119.24653077017781,165.64750649497765
25001,Agua de Dios,-,3,3,-,7,7,10,0,62.93266205160479,48.52798447104497,0,131.15982761851228,105.56477152767305,78.04573480059315
25019,Albán,3,13,16,-,5,5,21,304.56852791878174,480.7692307692308,433.721875847113,0,196.15535504119262,144.38348252959864,293.6241610738255
25035,Anapoima,3,34,37,5,22,27,64,141.1764705882353,552.7556494878881,447.0758820686322,241.54589371980674,346.1296412838263,320.4367434132447,383.1876421985391
25040,Anolaima,-,4,4,-,2,2,6,0,68.7757909215956,51.24263387138099,0,36.140224069389234,27.210884353741495,39.5882818685669
25599,Apulo,1,10,11,-,2,2,13,79.6812749003984,293.08323563892145,235.69745018212984,0,61.29328838492185,45.177320984865595,142.95139652518142
25053,Arbeláez,1,9,10,-,-,-,10,71.89072609633358,205.1983584131327,173.10022503029253,0,0,0,87.7654906090925
25086,Beltrán,-,1,1,-,1,1,2,0,136.23978201634876,97.37098344693281,0,148.14814814814815,107.18113612004286,102.04081632653062
25095,Bituima,-,1,1,-,-,-,1,0,88.57395925597875,69.3000693000693,0,0,0,37.453183520599254
25099,Bojacá,1,13,14,1,8,9,23,59.488399762046406,317.3828125,242.34031504240957,60.024009603841534,195.50342130987292,156.30427231677666,199.39315127871694
25120,Cabrera,-,3,3,-,1,1,4,0,147.05882352941177,101.1804384485666,0,67.24949562878278,43.51610095735422,76.00228006840206
25123,Cachipay,2,29,31,2,19,21,52,141.643059490085,683.6397925506836,548.2844004244782,139.08205841446454,470.7631318136769,383.63171355498724,467.28971962616816
25126,Cajicá,17,71,88,4,39,43,131,128.2051282051282,214.43672606463304,189.7778736251887,31.725888324873093,103.44827586206897,85.47348334260953,135.50135501355012
25148,Caparrapí,-,16,16,-,10,10,26,0,296.7909478760898,224.75066722854334,0,210.1281781886951,156.56802880851728,192.50703391085443
25151,Cáqueza,-,40,40,1,26,27,67,0,595.5926146515783,421.674045962471,40.32258064516129,387.88602118454423,294.02156158118265,358.88371096470087
25154,Carmen de Carupa,1,20,21,1,3,4,25,77.9423226812159,662.9101756711966,488.3720930232558,86.73026886383347,107.06638115631692,101.1378002528445,302.8467595396729
25168,Chaguaní,-,8,8,-,3,3,11,0,414.722654224987,319.744204636291,0,197.10906701708277,147.42014742014743,242.450958783337
25175,Chía,7,102,109,6,53,59,168,36.54207558989351,182.0096001142021,144.95259119379762,32.98697014679202,85.27069423216153,73.43423279896444,108.01010665998034
25178,Chipaque,1,23,24,1,10,11,35,64.1025641025641,615.9614354579539,453.3434076312807,68.11989100817438,270.63599458728015,213.05442572147976,334.7040260112843
25181,Choachí,-,11,11,1,8,9,20,0,252.46729400963966,184.81182795698925,66.62225183211193,176.48356496801236,149.15478952601924,166.86133822793258
25183,Chocontá,1,49,50,4,21,25,75,26.74511901577962,623.0925737538149,430.9230371455658,111.26564673157164,263.65348399246705,216.26297577854672,323.79225488926306
25200,Cogua,2,19,21,1,3,4,25,54.70459518599562,213.96396396396395,167.51754945756224,27.63957987838585,32.43243243243243,31.084861672365555,98.40969925995907
25214,Cota,2,22,24,-,15,15,39,36.0555255092843,164.54749439042632,126.87001110112597,0,102.64130286027097,76.71849427168576,101.38033221555018
25224,Cucunubá,1,22,23,4,8,12,35,65.01950585175553,787.6834944504118,531.0551835603787,287.5629043853343,279.42717429269993,282.08744710860367,407.68782760629006
25245,El Colegio,4,86,90,-,52,52,142,119.58146487294471,857.1713345958339,672.7462998953506,0,489.780540642366,375.77684636508167,521.7519106407996
25258,El Peñón,-,-,-,-,2,2,2,0,0,0,0,113.18619128466328,83.85744234800838,40.16870857601928
25260,El Rosal,1,7,8,-,4,4,12,24.213075060532688,79.1139240506329,61.642780089382036,0,44.898417330789094,31.30135378355114,46.58927670147921
25269,Facatativá,20,277,297,11,148,159,456,89.5054822107854,486.68212804835196,374.7113965254034,50.48187241854062,242.01196978120808,191.69560185185185,281.12573595141953
25279,Fómeque,2,16,18,-,9,9,27,101.31712259371835,329.48929159802304,263.54319180087845,0,191.042241562301,138.86745872550532,202.83975659229208
25281,Fosca,-,15,15,1,5,6,21,0,679.0402897238569,468.01872074883,101.01010101010101,240.03840614498318,195.24894240156198,334.50143357757247
25286,Funza,1,35,36,4,10,14,50,6.928086462519052,90.07154253950281,67.55235307363208,28.123461998171976,23.94292007853278,25.004911679079818,45.753607671964936
25288,Fúquene,-,4,4,-,10,10,14,0,214.70746108427267,150.31942878617062,0,498.00796812749,362.71309394269133,258.3979328165375
25290,Fusagasugá,10,164,174,10,106,116,290,51.36106831022085,284.9497862876603,225.9036144578313,54.34782608695652,163.39869281045753,139.30252665962146,180.91530668263712
25293,Gachalá,-,2,2,-,-,-,2,0,109.58904109589041,83.05647840531562,0,0,0,43.66812227074236
25295,Gachancipá,1,19,20,-,13,13,33,31.91828917969997,273.7357729433799,198.53087155052611,0,184.37101120408454,129.01945216355696,163.77171215880892
25297,Gachetá,-,2,2,-,-,-,2,0,60.168471720818296,45.46487838145033,0,0,0,22.527596305474205
25299,Gama,-,1,1,-,-,-,1,0,81.9000819000819,58.68544600938967,0,0,0,29.922202274087372
25307,Girardot,12,149,161,9,108,117,278,86.55510675129833,356.73242673817276,289.4017831463906,68.5609811838196,237.92214658647808,199.93164730006833,243.5349358749737
25312,Granada,-,9,9,-,1,1,10,0,322.46506628448583,218.8715953307393,0,34.72222222222222,24.189646831156264,121.2709192335678
25317,Guachetá,-,7,7,-,4,4,11,0,140.90177133655394,92.83819628647215,0,83.14279775514446,55.043346635475444,74.28918754643075
25320,Guaduas,3,51,54,3,32,35,89,74.36787307882994,341.25125460020075,284.52500131724537,79.63897000265463,271.531607976241,225.0514403292181,257.73942254785555
25322,Guasca,-,5,5,-,4,4,9,0,78.5175879396985,56.81172594023407,0,63.562688701732085,45.423574835339544,51.11603339580849
25324,Guataquí,-,1,1,-,-,-,1,0,87.64241893076249,66.8896321070234,0,0,0,34.698126301179734
25326,Guatavita,-,6,6,-,4,4,10,0,234.92560689115115,168.77637130801688,0,156.12802498048399,113.41083073433512,141.20304998587972
25328,Guayabal de Síquima,3,8,11,1,4,5,16,484.6526655896607,427.35042735042737,441.5897230028101,157.9778830963665,221.36137244050911,204.91803278688525,324.47779355100386
25335,Guayabetal,1,18,19,3,6,9,28,85.17887563884157,731.7073170731708,522.8398458998349,257.0694087403599,271.37042062415196,266.42984014209594,399.31545921277814
25339,Gutiérrez,2,14,16,2,6,8,24,344.82758620689657,1000.7147962830594,808.489135927236,350.87719298245617,517.2413793103448,462.4277456647399,647.0746832030197
25368,Jerusalén,-,2,2,-,-,-,2,0,205.54984583761563,153.9645881447267,0,0,0,83.09098462816785
25372,Junín,-,-,-,-,1,1,1,0,0,0,0,39.936102236421725,30.8546744831842,15.835312747426762
25377,La Calera,1,8,9,-,3,3,12,23.19647413593134,63.71963361210673,53.361792956243335,0,22.741055184960583,17.283097131005878,35.06311360448808
25386,La Mesa,1,71,72,-,29,29,101,21.5610176800345,497.75659001682556,380.91207279652946,0,202.38676809267918,155.39599185510664,268.8744542647215
25394,La Palma,1,1,2,-,-,-,2,82.44023083264634,24.53385672227674,37.81433163168841,0,0,0,19.6078431372549
25398,La Peña,-,9,9,1,1,2,11,0,332.96337402885683,257.87965616045847,149.7005988023952,45.892611289582376,70.24938531787846,173.5837146914944
25402,La Vega,-,37,37,3,15,18,55,0,528.5714285714286,385.29626158492135,117.6470588235294,207.49757919490938,184.06790060333367,283.7684449489217
25407,Lenguazaque,1,22,23,1,4,5,28,50.91649694501018,573.6636245110822,396.62010691498534,55.21811154058532,110.71132023249376,92.18289085545723,249.48765927113962
25426,Machetá,-,11,11,2,2,4,15,0,424.54650714010035,327.18619869125524,267.022696929239,82.78145695364239,126.3823064770932,229.81461620959092
25430,Madrid,2,44,46,3,18,21,67,10.559104587930944,95.44468546637744,70.72461985516829,16.218846299399903,36.979209466677624,31.262560850341657,50.67542015217753
25436,Manta,-,1,1,-,2,2,3,0,61.91950464396285,48.56726566294317,0,124.06947890818859,100.5530417295123,74.11067193675889
25438,Medina,1,10,11,1,4,5,16,68.4931506849315,332.667997338656,246.30541871921181,79.4912559618442,142.19694276573054,122.81994595922379,187.419468197259
25473,Mosquera,1,44,45,2,20,22,67,4.550418638514743,80.50940496230696,58.72527013624263,9.479571523367143,33.9247548936459,27.482136611202716,42.76231810058718
25483,Nariño,1,1,2,-,1,1,3,317.46031746031747,97.65625,149.36519790888724,0,106.15711252653928,81.76614881439085,117.096018735363
25486,Nemocón,-,11,11,1,3,4,15,0,224.44399102224034,147.0391658869135,40.53506282934738,58.12826971517148,52.43838489774515,99.27857568336754
25488,Nilo,3,12,15,-,6,6,21,211.41649048625794,174.0391588107324,180.418571084917,0,203.38983050847457,143.0615164520744,167.89254876878798
25489,Nimaima,-,5,5,-,-,-,5,0,310.1736972704715,240.7318247472316,0,0,0,127.8118609406953
25491,Nocaima,-,6,6,-,6,6,12,0,222.3869532987398,170.1162461015027,0,243.5064935064935,182.03883495145632,175.87571449509014
25513,Pacho,-,6,6,-,2,2,8,0,63.21112515802782,45.62390692722987,0,19.73359644795264,14.623089858887184,29.81959147159684
