 DIVIPOLA,"COMPORTAMIENTO DE LAS LESIONES NO FATALES POR VIOLENCIA INTERPERSONAL EN COLOMBIA AÑO 2021

CASOS Y TASAS X 100.00 HABITANTES",VIOLENCIA INTERPERSONAL (CASOS),VIOLENCIA INTERPERSONAL (CASOS).1,VIOLENCIA INTERPERSONAL (CASOS).2,VIOLENCIA INTERPERSONAL (CASOS).3,VIOLENCIA INTERPERSONAL (CASOS).4,VIOLENCIA INTERPERSONAL (CASOS).5,VIOLENCIA INTERPERSONAL (CASOS).6,VIOLENCIA INTERPERSONAL (TASAS),VIOLENCIA INTERPERSONAL (TASAS).1,VIOLENCIA INTERPERSONAL (TASAS).2,VIOLENCIA INTERPERSONAL (TASAS).3,VIOLENCIA INTERPERSONAL (TASAS).4,VIOLENCIA INTERPERSONAL (TASAS).5,VIOLENCIA INTERPERSONAL (TASAS).6
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,(TASA X 100.000 HAB.)
5313,Granada,-,3,3,-,2,2,5,0,93.19664492078284,60.814919927022096,0,57.88712011577424,40.14452027298274,50.42864346949067
5315,Guadalupe,-,12,12,-,3,3,15,0,496.68874172185434,348.3309143686502,0,125.8917331095258,90.27986758952753,221.63120567375887
5318,Guarne,9,74,83,3,28,31,114,123.59241966492722,336.3177748488842,283.4215468669968,46.24633883150917,120.16651645852109,104.06875251779239,192.9815651820629
5321,Guatapé,-,5,5,-,4,4,9,0,154.46400988569664,115.76753878212548,0,115.77424023154848,88.39779005524862,101.76390773405699
5347,Heliconia,-,3,3,-,-,-,3,0,135.9927470534905,104.85844110450893,0,0,0,54.754517247672936
5353,Hispania,-,3,3,1,2,3,6,0,143.26647564469914,106.00706713780917,133.15579227696406,95.37434430138292,105.33707865168539,105.67101091933779
5360,Itagüí,9,259,268,10,66,76,344,29.124328522425735,236.80866043101003,191.05601220477212,33.98817211610359,52.86089575190619,49.261722345376526,116.78792467178859
5361,Ituango,-,11,11,2,3,5,16,0,84.07857525032485,64.01303538175047,52.673163023439564,41.44218814753419,45.30627038782168,56.69737774627923
5364,Jardín,-,11,11,1,5,6,17,0,198.5201227215304,146.9213303058635,56.24296962879641,86.28127696289906,79.2288392975043,112.88180610889773
5368,Jericó,3,32,35,1,14,15,50,186.33540372670808,603.2045240339303,506.14605929139555,64.93506493506493,256.2225475841874,214.1633352370074,359.22120842014516
5376,La Ceja,4,69,73,7,22,29,102,48.94163709776092,271.49321266968326,217.33952602119803,87.45627186406797,79.11676915884489,80.9807042528832,146.97618121298578
5380,La Estrella,2,53,55,4,16,20,75,23.872045834328002,183.89368862981854,147.85343692034732,51.17052577715236,50.49229992426155,50.62650297430705,97.7784730913642
5390,La Pintada,-,4,4,-,-,-,4,0,127.3074474856779,92.25092250922509,0,0,0,46.54951704876062
5425,Maceo,-,1,1,-,-,-,1,0,35.00175008750438,24.03846153846154,0,0,0,11.938872970391595
5440,Marinilla,-,3,3,-,1,1,4,0,12.403870007442322,8.86472430707405,0,3.8195638058133765,2.847542570761433,5.800464037122969
5001,Medellín,111,2204,2315,79,908,987,3302,38.63933832743881,237.97466714319185,190.78291870669784,28.446121605369473,83.91238733514405,72.58425693797392,128.3217136506012
5467,Montebello,1,12,13,-,6,6,19,119.61722488038276,464.0371229698376,379.8947983635301,0,241.93548387096774,180.6140878988561,281.73190984578883
5475,Murindó,-,-,-,-,1,1,1,0,0,0,0,77.10100231303007,38.109756097560975,18.811136192626034
5480,Mutatá,-,-,-,-,3,3,3,0,0,0,0,70.55503292568204,41.631973355537056,20.53107035313441
5483,Nariño,-,1,1,-,-,-,1,0,28.75215641173088,19.387359441644048,0,0,0,9.9000099000099
5495,Nechí,-,4,4,-,-,-,4,0,46.46300383319782,27.878449958182326,0,0,0,14.396775122372588
5490,Necoclí,-,3,3,-,3,3,6,0,23.536795857523927,13.560547846132984,0,21.709240900209856,13.222849083215799,13.38956952533976
5541,Peñol,1,19,20,1,5,6,26,34.21142661648991,241.08615657911434,185.11662347278786,34.542314335060446,59.46717411988582,53.0832522339202,117.60980684850952
5576,Pueblorrico,-,1,1,-,-,-,1,0,31.55569580309246,22.558087074216107,0,0,0,11.273957158962796
5579,Puerto Berrío,13,69,82,9,47,56,138,220.9756926738059,465.1476338142106,395.8102041801419,159.2920353982301,313.79356389371077,271.4756641458212,333.7767565606482
5585,Puerto Nare,-,5,5,-,1,1,6,0,97.1628449280995,68.38074398249452,0,19.007793195210038,13.601741022850925,40.91653027823241
5591,Puerto Triunfo,-,15,15,1,8,9,24,0,197.29054320662894,142.07236218980867,35.89375448671931,135.0438892640108,103.32950631458094,124.55885405854266
5604,Remedios,-,6,6,-,2,2,8,0,63.23777403035413,39.914848323576365,0,20.302507359658918,13.278449077147789,26.58337210075098
5607,Retiro,1,36,37,-,10,10,47,34.293552812071326,384.69758495405006,301.45021997718754,0,97.86651008025053,77.68800497203232,186.90845462499007
5615,Rionegro,1,74,75,6,41,47,122,6.031363088057901,135.3997035844327,105.28827930874735,38.50102669404517,70.17543859649122,63.50578983637125,83.99774170005921
5631,Sabaneta,5,70,75,3,16,19,94,59.12262031453234,211.20598618109406,180.28846153846155,37.4859427714607,40.240436608737205,39.778912988861904,105.18777136206974
5642,Salgar,3,23,26,1,16,17,43,115.25163273146369,343.796711509716,279.78047993113097,37.9794910748196,241.76488365064975,183.76391741433358,231.8809318377912
5647,San Andrés de Cuerquía,-,5,5,-,8,8,13,0,201.93861066235866,131.8217769575534,0,336.70033670033666,222.16051096917525,175.81823099810657
5649,San Carlos,-,17,17,1,5,6,23,0,296.4771538193233,207.74776976658927,43.78283712784589,89.46144211844695,76.20983106820779,143.248629795715
5656,San Jerónimo,-,5,5,-,2,2,7,0,84.93290300662477,62.5,0,32.99785513941594,24.189646831156264,43.029259896729776
5660,San Luis,1,5,6,-,9,9,15,42.99226139294927,118.56770215793219,91.70105456212747,0,196.80734747430571,132.66509433962264,112.55346289487505
5664,San Pedro de los Milagros,-,34,34,4,6,10,44,0,427.8882456581928,303.40888809566303,124.22360248447205,68.04264005443412,83.0702774547267,189.29616245052486
5665,San Pedro de Urabá,-,2,2,-,-,-,2,0,19.168104274487252,11.95385810770426,0,0,0,6.126324817741836
5667,San Rafael,1,7,8,-,5,5,13,43.29004329004329,124.09147314305974,100.61627468242989,0,84.5880561664693,62.85355122564425,81.73016471771659
5670,San Roque,6,12,18,2,15,17,35,183.4862385321101,153.47231103721703,162.32302281540265,62.85355122564425,195.79689335595873,156.78317808724523,159.58416925041035
5674,San Vicente Ferrer,-,12,12,-,1,1,13,0,139.11430558775794,101.05263157894737,0,12.451749470800648,9.138261902586128,56.972565518450345
5679,Santa Bárbara,2,29,31,1,11,12,43,59.38242280285036,280.62705631894715,226.24434389140274,32.97065611605671,101.1680309022349,86.29368617862792,155.7519559547957
5042,Santa Fé de Antioquia,1,29,30,1,22,23,53,25.833118057349523,298.0472764645426,220.5720167634733,27.33734281027884,216.4928163747294,166.42547033285095,193.28252069581706
5686,Santa Rosa de Osos,-,26,26,-,7,7,33,0,195.35652565932827,136.0188333769291,0,51.315885932116416,36.1794500723589,85.7967397238905
5690,Santo Domingo,-,13,13,2,4,6,19,0,270.77692147469276,200.18478595626735,127.7139208173691,89.78675645342312,99.6512207274539,151.81781861765882
5736,Segovia,2,6,8,1,13,14,22,29.1332847778587,45.892611289582376,40.12237323837705,15.451174289245982,95.73606303851535,69.82195401725599,55.013753438359586
5756,Sonsón,2,45,47,-,18,18,65,36.64345914254306,339.28975344944587,251.05496501255277,0,134.49899125756556,97.44478129060198,174.76406850751485
5761,Sopetrán,-,1,1,-,1,1,2,0,17.009695526450077,12.69035532994924,0,17.16738197424893,12.701638511367968,12.695994413762458
5789,Támesis,-,2,2,-,-,-,2,0,31.740993493096333,24.131274131274132,0,0,0,12.156576707999028
5790,Tarazá,1,12,13,1,4,5,18,17.52541184717841,143.59219815723347,92.44115764772808,18.2882223847842,44.95392222971454,34.804399276068494,63.315628407611946
5792,Tarso,-,2,2,-,2,2,4,0,86.58008658008659,63.391442155309036,0,85.14261387824607,63.03183107469272,63.21112515802782
5809,Titiribí,1,1,2,-,1,1,3,81.83306055646482,24.20721374969741,37.362226788716605,0,23.12673450508788,18.076644974692698,27.56086357372531
5837,Turbo,7,28,35,5,43,48,83,26.432050749537442,75.58170922636722,55.09294967652568,19.499259028156928,99.84906536630673,69.86187724685986,62.766568861732054
5842,Uramita,-,1,1,-,2,2,3,0,42.3908435777872,27.800945232137895,0,88.2223202470225,58.66823115283074,42.820439623180135
5847,Urrao,3,28,31,-,17,17,48,55.876327062767736,273.14408350404835,198.46350832266324,0,161.36687233032748,108.03940260565618,153.08563227555413
5854,Valdivia,1,4,5,-,4,4,9,36.98224852071006,90.19165727170237,70.03782042302844,0,86.00301010535368,55.69479253689779,62.8447734096781
5856,Valparaíso,-,-,-,-,1,1,1,0,0,0,0,39.69829297340214,30.883261272390367,15.216068167985393
5858,Vegachí,1,5,6,-,3,3,9,49.92511233150275,123.2741617357002,99.02624195411785,0,68.1663258350375,48.64601913410086,73.6136103386226
5861,Venecia,2,15,17,1,7,8,25,153.0221882172915,335.4203935599284,294.16854127011595,80.38585209003216,143.6192039392696,130.76168682576005,210.13700933008323
5873,Vigía del Fuerte,-,1,1,-,-,-,1,0,40.6669377795852,21.168501270110074,0,0,0,10.450412791305256
5885,Yalí,-,10,10,-,3,3,13,0,355.49235691432636,248.38549428713364,0,114.06844106463879,79.4912559618442,166.66666666666669
5887,Yarumal,7,36,43,4,20,24,67,105.88413250642867,248.56728578333218,203.849435858538,61.25574272588055,127.25884448969204,107.88456351703677,154.59160129210892
5890,Yolombó,-,25,25,1,10,11,36,0,293.5995302407516,205.60901389916935,29.824038174768866,119.64584828906438,93.92878490308257,150.8169250104734
5893,Yondó,-,5,5,-,4,4,9,0,75.8495145631068,47.70992366412214,0,64.87187804086928,40.217172732756886,44.06149025751493
81,Arauca,19,255,274,16,137,153,427,36.03945371775418,259.84348251406215,181.63016386487777,31.469425486300967,137.590262224945,101.7192548565958,141.73332890762438
81001,Arauca,16,164,180,13,84,97,277,101.20817255993421,491.1944411165688,365.8759680468321,84.27876823338735,243.33014686712434,194.20974652624835,279.39441009450996
81065,Arauquita,1,21,22,1,10,11,33,9.013881377321075,111.34676564156945,73.44595045736796,9.875567845151096,57.20169317011784,39.843523616343084,57.32948820402349
81220,Cravo Norte,-,3,3,-,-,-,3,0,200.4008016032064,135.56258472661546,0,0,0,70.72135785007072
81300,Fortul,-,6,6,-,6,6,12,0,93.57454772301934,58.36008170411438,0,92.80742459396751,57.98221878623889,58.17053662320035
