CASOS Y TASAS X 100.00 HABITANTES",PRESUNTO DELITO SEXUAL (CASOS),PRESUNTO DELITO SEXUAL (CASOS).1,PRESUNTO DELITO SEXUAL (CASOS).2,PRESUNTO DELITO SEXUAL (CASOS).3,PRESUNTO DELITO SEXUAL (CASOS).4,PRESUNTO DELITO SEXUAL (CASOS).5,PRESUNTO DELITO SEXUAL (CASOS).6,PRESUNTO DELITO SEXUAL (CASOS).7,PRESUNTO DELITO SEXUAL (CASOS).8,PRESUNTO DELITO SEXUAL (TASAS),PRESUNTO DELITO SEXUAL (TASAS).1,PRESUNTO DELITO SEXUAL (TASAS).2,PRESUNTO DELITO SEXUAL (TASAS).3,PRESUNTO DELITO SEXUAL (TASAS).4,PRESUNTO DELITO SEXUAL (TASAS).5,PRESUNTO DELITO SEXUAL (TASAS).6,PRESUNTO DELITO SEXUAL (TASAS).7,PRESUNTO DELITO SEXUAL (TASAS).8
CÓDIGOS,SEXO,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,(TASA X 100.000 HAB.)
5310,Gómez Plata,1,-,-,1,2,1,-,3,4,77.57951900698215,0,-,19.98001998001998,164.06890894175555,25.967281225655675,-,59.171597633136095,39.702233250620345
5313,Granada,-,-,-,-,1,-,-,1,1,0,0,-,0,65.48788474132286,0,-,20.07226013649137,10.085728693898133
5315,Guadalupe,-,-,-,-,1,1,-,2,2,0,0,-,0,106.38297872340426,41.963911036508605,-,60.18657839301836,29.55082742316785
5318,Guarne,6,1,-,7,21,5,-,26,33,82.39494644328481,4.544834795255192,-,23.903022024927438,323.7243718205642,21.458306510450196,-,87.28346985363234,55.86308465796557
5321,Guatapé,-,-,-,-,6,4,-,10,10,0,0,-,0,560.7476635514018,115.77424023154848,-,220.99447513812157,113.07100859339666
5347,Heliconia,-,-,-,-,-,1,-,1,1,0,0,-,0,0,49.30966469428008,-,38.19709702062643,18.25150574922431
5353,Hispania,-,-,-,-,1,-,-,1,1,0,0,-,0,133.15579227696406,0,-,35.1123595505618,17.611835153222966
5360,Itagüí,12,1,-,13,56,14,-,70,83,38.83243802990098,0.914319152243282,-,9.267642383067304,190.33376385018013,11.212917280707375,-,45.37263900232049,28.17848182487922
5361,Ituango,1,-,-,1,9,-,-,9,10,24.384296513045598,0,-,5.8193668528864055,237.029233605478,0,-,81.55128669807901,35.43586109142452
5364,Jardín,2,1,-,3,6,-,-,6,9,102.77492291880782,18.047283883775492,-,40.06945371978096,337.4578177727784,0,-,79.2288392975043,59.7609561752988
5368,Jericó,3,-,-,3,17,1,-,18,21,186.33540372670808,0,-,43.38394793926247,1103.896103896104,18.301610541727673,-,256.9960022844089,150.87290753646096
5376,La Ceja,2,1,-,3,26,10,-,36,39,24.47081854888046,3.9346842415896126,-,8.931761343336905,324.8375812093953,35.96216779947495,-,100.52777079668257,56.196775169671035
5380,La Estrella,2,1,-,3,13,3,-,16,19,23.872045834328002,3.469692238298463,-,8.064732922928036,166.30420877574517,9.46730623579904,-,40.50120237944564,24.77054651647893
5390,La Pintada,-,-,-,-,4,2,-,6,6,0,0,-,0,363.9672429481347,63.33122229259025,-,140.94432699083862,69.82427557314092
5400,La Unión,-,-,-,-,3,-,-,3,3,0,0,-,0,99.56853634251577,0,-,26.005547850208043,13.191451939143436
5411,Liborina,1,-,-,1,-,-,-,-,1,65.31678641410844,0,-,19.01863826550019,0,0,-,0,9.758953840148337
5440,Marinilla,-,-,-,-,4,1,-,5,5,0,0,-,0,44.75774868524113,3.8195638058133765,-,14.237712853807164,7.250580046403712
5001,Medellín,139,17,-,156,487,175,-,662,818,48.386198446072015,1.835557777420264,-,12.856213960364952,175.35773698499918,16.17254161194957,-,48.683665747658296,31.788964798967832
5467,Montebello,2,-,-,2,3,-,-,3,5,239.23444976076553,0,-,58.44535359438924,356.29453681710214,0,-,90.30704394942805,74.13997627520759
5480,Mutatá,2,-,-,2,7,-,-,7,9,64.22607578676943,0,-,27.005130974885226,236.96682464454977,0,-,97.1412711629198,61.59321105940323
5495,Nechí,-,-,-,-,1,-,-,1,1,0,0,-,0,18.076644974692698,0,-,7.442691277165824,3.599193780593147
5490,Necoclí,2,-,-,2,14,1,-,15,17,21.32878319291884,0,-,9.040365230755322,157.85319652722967,7.236413633403285,-,66.11424541607897,37.93711365512932
5541,Peñol,1,-,-,1,1,-,-,1,2,34.21142661648991,0,-,9.255831173639393,34.542314335060446,0,-,8.847208705653367,9.046908219116117
5543,Peque,-,-,-,-,2,-,-,2,2,0,0,-,0,145.87892049598833,0,-,50.377833753148614,23.769907297361538
5576,Pueblorrico,-,-,-,-,-,1,-,1,1,0,0,-,0,0,31.181789834736513,-,22.537750732476898,11.273957158962796
5579,Puerto Berrío,1,1,-,2,21,4,-,25,27,16.998130205677377,6.741270055278414,-,9.653907419027853,371.6814159292035,26.705835224996665,-,121.19449292224162,65.30414802273552
5585,Puerto Nare,-,-,-,-,3,1,-,4,4,0,0,-,0,143.47202295552367,19.007793195210038,-,54.4069640914037,27.277686852154936
5591,Puerto Triunfo,-,-,-,-,8,2,-,10,10,0,0,-,0,287.1500358937545,33.7609723160027,-,114.8105625717566,51.89952252439277
5604,Remedios,1,-,-,1,2,2,-,4,5,18.037518037518037,0,-,6.652474720596062,38.380349261178274,20.302507359658918,-,26.556898154295578,16.614607562969365
5607,Retiro,1,-,-,1,6,4,-,10,11,34.293552812071326,0,-,8.147303242626691,226.07385079125848,39.146604032100214,-,77.68800497203232,43.74453193350831
5615,Rionegro,4,-,-,4,35,6,-,41,45,24.125452352231605,0,-,5.615374896466525,224.58932238193017,10.269576379974326,-,55.398667729600454,30.982773577890693
5631,Sabaneta,1,-,-,1,13,5,-,18,19,11.824524062906468,0,-,2.4038461538461537,162.43908534299638,12.575136440230375,-,37.68528598944812,21.261358041269414
5642,Salgar,2,-,-,2,22,2,-,24,26,76.8344218209758,0,-,21.521575379317767,835.5488036460312,30.22061045633122,-,259.43141282023566,140.20707506471095
5647,San Andrés de Cuerquía,1,-,-,1,4,1,-,5,6,75.93014426727412,0,-,26.36435539151068,326.53061224489795,42.08754208754208,-,138.8503193557345,81.14687584527995
5649,San Carlos,-,-,-,-,3,1,-,4,4,0,0,-,0,131.34851138353764,17.89228842368939,-,50.80655404547187,24.912805181863476
5652,San Francisco,-,-,-,-,1,-,-,1,1,0,0,-,0,98.71668311944718,0,-,33.37783711615487,16.719612104999165
5656,San Jerónimo,2,1,-,3,10,4,-,14,17,94.6521533364884,16.986580601324953,-,37.5,453.1037607612143,65.99571027883188,-,169.32752781809384,104.4996311777723
5660,San Luis,2,-,-,2,12,1,-,13,15,85.98452278589853,0,-,30.56701818737582,542.7408412483039,21.867483052700635,-,191.62735849056605,112.55346289487505
5664,San Pedro de los Milagros,3,-,-,3,10,-,-,10,13,92.02453987730061,0,-,26.771372479029093,310.5590062111801,0,-,83.0702774547267,55.92841163310962
5665,San Pedro de Urabá,-,-,-,-,3,1,-,4,4,0,0,-,0,52.761167780513546,9.776126698602013,-,25.133521834747096,12.252649635483673
5667,San Rafael,1,-,-,1,6,1,-,7,8,43.29004329004329,0,-,12.577034335303736,293.5420743639921,16.91761123329386,-,87.99497171590194,50.29548598013328
