 DIVIPOLA,"SUICIDIOS EN COLOMBIA AÑO 2021

CASOS Y TASAS X 100.00 HABITANTES",VIOLENTA - SUICIDIO (CASOS),VIOLENTA - SUICIDIO (CASOS).1,VIOLENTA - SUICIDIO (CASOS).2,VIOLENTA - SUICIDIO (CASOS).3,VIOLENTA - SUICIDIO (CASOS).4,VIOLENTA - SUICIDIO (CASOS).5,VIOLENTA - SUICIDIO (CASOS).6,VIOLENTA - SUICIDIO (TASAS),VIOLENTA - SUICIDIO (TASAS).1,VIOLENTA - SUICIDIO (TASAS).2,VIOLENTA - SUICIDIO (TASAS).3,VIOLENTA - SUICIDIO (TASAS).4,VIOLENTA - SUICIDIO (TASAS).5,VIOLENTA - SUICIDIO (TASAS).6
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,(TASA X 100.000 HAB.)
81736,Saravena,-,7,7,1,1,2,9,0,34.20641125879594,24.743725698126546,12.733987011333248,4.550211584838695,6.70465973851827,15.48520302821748
81794,Tame,-,-,-,-,1,1,1,0,0,0,0,6.211565935772408,4.469673266884191,2.23463687150838
88,"Archipiélago de San Andrés, Providencia y Santa Catalina",-,4,4,-,-,-,4,0,17.817371937639198,13.959656592447825,0,0,0,6.699157580934197
88001,San Andrés,-,4,4,-,-,-,4,0,19.745285813012146,15.508684863523573,0,0,0,7.4298345004365025
8,Atlántico,9,82,91,3,14,17,108,2.9907983105312654,8.789079247483322,7.3749958464995915,1.0292407291141326,1.3755523088154233,1.2984533129654383,4.246703594637986
8078,Baranoa,-,1,1,-,-,-,1,0,4.227436060029592,3.2031775521317147,0,0,0,1.5946165744446748
8001,Barranquilla,5,46,51,2,6,8,59,3.8209940698172034,10.415959060752213,8.908514793374861,1.5588464536243178,1.204318686810904,1.276921087872921,4.9207960346724295
8296,Galapa,-,2,2,-,1,1,3,0,8.936151199678298,6.4827720333214485,0,4.317975732976381,3.2286184741549095,4.852484472049689
8372,Juan de Acosta,-,1,1,-,-,-,1,0,12.100677637947726,9.149967975112087,0,0,0,4.71253534401508
8433,Malambo,-,5,5,-,1,1,6,0,10.658026559802188,7.80957141072098,0,2.06138813877265,1.5342364872121388,4.643855018846312
8436,Manatí,1,-,1,-,-,-,1,33.50083752093803,0,10.094891984655764,0,0,0,5.122163601905445
8520,Palmar de Varela,-,1,1,-,1,1,2,0,9.106638739641198,6.918021445866483,0,9.078529278256921,6.924248719013987,6.921133681697062
8606,Repelón,-,2,2,-,1,1,3,0,21.521575379317767,15.499070055796652,0,10.409076714895388,7.675775253300584,11.568718186024988
8634,Sabanagrande,1,3,4,-,-,-,4,24.721878862793574,24.660912453760787,24.676125848241828,0,0,0,12.280863344693133
8638,Sabanalarga,-,3,3,-,-,-,3,0,8.885729518393461,6.55780706931602,0,0,0,3.243874483683311
8675,Santa Lucía,-,1,1,-,-,-,1,0,18.12250815512867,12.827090815802975,0,0,0,6.356874960269532
8758,Soledad,2,15,17,1,4,5,22,2.626878217925817,6.704749644648269,5.669350159075296,1.368756758236494,1.6285981841130246,1.5690261682184334,3.55683745414509
8832,Tubará,-,2,2,-,-,-,2,0,28.48597065945022,22.12634140944795,0,0,0,11.409013120365088
11,"Bogotá, D.C.",19,293,312,11,51,62,374,2.9180489003563093,10.277798727026225,8.909385552231987,1.7464863869324714,1.587194391166236,1.6133006752704167,5.091914502671076
11001,"Bogotá, D.C.",19,293,312,11,51,62,374,2.9180489003563093,10.277798727026225,8.909385552231987,1.7464863869324714,1.587194391166236,1.6133006752704167,5.091914502671076
13,Bolívar,1,46,47,3,8,11,58,0.38372543677547843,6.260326135772864,4.721772091112118,1.2128121475264697,1.037842325804652,1.0803495225346178,2.8804446611951464
13052,Arjona,-,1,1,-,-,-,1,0,4.05038681194054,2.9853419709227693,0,0,0,1.4704368667931242
13062,Arroyohondo,-,1,1,-,-,-,1,0,34.258307639602606,24.88181139586962,0,0,0,12.50625312656328
13001,Cartagena de Indias,-,21,21,-,5,5,26,0,6.075158388057974,4.585383108758737,0,1.2773317051611865,1.0019437709155763,2.716803534352413
13244,El Carmen de Bolívar,-,7,7,-,1,1,8,0,27.65595985934969,20.34055907479514,0,4.218519299725796,3.1064583268615453,12.01111027700623
13430,Magangué,-,4,4,-,-,-,4,0,8.601595595983055,6.21204826761504,0,0,0,3.0981813675372556
13433,Mahates,-,1,1,-,-,-,1,0,9.723842862699339,7.183908045977011,0,0,0,3.681885125184094
13442,María la Baja,-,1,1,-,2,2,3,0,6.474587245063128,4.506128334534967,0,12.677484787018255,9.112447603426281,6.796556411418214
13468,Mompós,-,1,1,-,-,-,1,0,6.658232904987016,4.749916876454662,0,0,0,2.3485204321277595
13657,San Juan Nepomuceno,1,1,2,1,-,1,3,23.004370830457788,7.107320540156361,10.859531954172775,24.31906614785992,0,5.689576695493855,8.334954018836996
13667,San Martín de Loba,-,1,1,-,-,-,1,0,20.712510356255176,14.186409419775854,0,0,0,7.418947993174568
13670,San Pablo,-,1,1,1,-,1,2,0,10.999890001099988,7.579202667879339,25.284450063211125,0,7.797878976918279,7.686985932815743
13688,Santa Rosa del Sur,-,1,1,-,-,-,1,0,8.84486113568017,6.213881811967936,0,0,0,3.1868447050575224
13683,Santa Rosa,-,2,2,1,-,1,3,0,26.888948642108094,19.630938358853555,36.3901018922853,0,9.574875526618154,14.540519581233037
13836,Turbaco,-,3,3,-,-,-,3,0,7.702775566795903,5.780792353938646,0,0,0,2.840774584536717
15,Boyacá,3,66,69,6,12,18,87,2.285574974477746,15.061615700593336,12.116784732148815,4.884124154436006,2.5683502202360313,3.0504700265899305,7.503033554083505
15047,Aquitania,-,1,1,-,-,-,1,0,18.351991191044227,13.781697905181918,0,0,0,7.014098337658694
15097,Boavita,-,1,1,-,-,-,1,0,57.01254275940707,44.44444444444445,0,0,0,22.070183182520417
15104,Boyacá,-,-,-,-,1,1,1,0,0,0,0,56.33802816901409,43.421623968736434,20.951183741881415
15109,Buenavista,-,1,1,-,-,-,1,0,59.701492537313435,46.01932811780948,0,0,0,24.10219329959026
15114,Busbanzá,-,1,1,-,-,-,1,0,251.25628140703517,192.30769230769232,0,0,0,96.43201542912247
15176,Chiquinquirá,-,1,1,-,-,-,1,0,5.182421227197347,3.874767513949163,0,0,0,1.8428763614249122
15185,Chitaraque,-,1,1,-,-,-,1,0,46.59832246039142,35.86800573888092,0,0,0,18.55976243504083
15223,Cubará,-,2,2,-,-,-,2,0,70.07708479327259,43.98504508467121,0,0,0,21.98043741070447
15226,Cuítiva,-,1,1,-,-,-,1,0,170.35775127768315,125.78616352201257,0,0,0,60.42296072507553
15238,Duitama,1,8,9,-,2,2,11,7.9987202047672366,18.16282976887799,15.915682252245878,0,3.909456976425974,3.178437480134766,9.207178250970939
15296,Gámeza,-,1,1,-,-,-,1,0,60.64281382656156,44.70272686633885,0,0,0,22.711787417669772
15299,Garagoa,-,2,2,-,-,-,2,0,30.98853424233034,24.585125998770742,0,0,0,11.625879207115037
15322,Guateque,-,1,1,-,-,-,1,0,25.195263290501387,20.308692120227455,0,0,0,9.646922631680495
15377,Labranzagrande,-,1,1,-,-,-,1,0,68.07351940095303,57.077625570776256,0,0,0,30.845157310302284
15464,Mongua,-,-,-,1,-,1,1,0,0,0,198.01980198019803,0,45.14672686230248,23.52387673488591
15469,Moniquirá,-,2,2,-,-,-,2,0,23.980815347721823,18.744142455482663,0,0,0,9.249410350090182
15476,Motavita,-,2,2,-,-,-,2,0,108.34236186348862,78.95775759968417,0,0,0,38.73716831299632
