CASOS Y TASAS X 100.00 HABITANTES",VIOLENTA - PRESUNTO HOMICIDIO (CASOS),VIOLENTA - PRESUNTO HOMICIDIO (CASOS).1,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).2,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).3,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).4,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).5,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).6,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).7,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).8,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).9,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).10,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).11,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).12,VIOLENTA - PRESUNTO HOMICIDIO (TASAS),VIOLENTA - PRESUNTO HOMICIDIO (TASAS).1,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).2,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).3,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).4,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).5,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).6,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).7,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).8,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).9,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).10,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).11,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).12
CÓDIGOS,SEXO,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),Indeterminado (Tasa x 100.000 Hab.),Indeterminado (Tasa x 100.000 Hab.),Indeterminado (Tasa x 100.000 Hab.),INDETERMINADO (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,(TASA X 100.000 HAB.)
5172,Chigorodó,1,25,-,26,-,1,-,1,-,-,-,-,27,9.032607713846987,137.25705501262763,-,88.78265323544477,0,4.794093676590441,-,3.1756113051762465,-,-,-,-,44.426162073220894
5190,Cisneros,-,6,-,6,-,-,-,-,-,-,-,-,6,0,168.68147315153217,-,124.92192379762648,0,0,-,0,-,-,-,-,59.46481665014867
5101,Ciudad Bolívar,6,31,-,37,1,3,-,4,-,-,-,-,41,159.7444089456869,322.68137816175704,-,276.88393324852206,28.91008962127783,30.3060915243964,-,29.944602485402008,-,-,-,-,153.4373713558624
5197,Cocorná,1,3,-,4,-,-,-,-,-,-,-,-,4,44.03346543372963,58.286380415776186,-,53.92289026691831,0,0,-,0,-,-,-,-,26.555135099249817
5209,Concordia,2,15,-,17,-,1,-,1,-,-,-,-,18,63.85696040868455,190.86397760529331,-,154.67200436720952,0,12.397718819737168,-,9.063717937097797,-,-,-,-,81.72902288412641
5212,Copacabana,1,22,-,23,-,3,-,3,-,-,-,-,26,11.205737337516808,69.9367390405951,-,56.95748000297169,0,8.772186321237463,-,7.0216500877706265,-,-,-,-,31.28534642504753
5234,Dabeiba,-,17,-,17,-,1,-,1,-,-,-,-,18,0,241.64889836531628,-,140.50747995702125,0,14.224751066856332,-,8.492569002123142,-,-,-,-,75.39582809751194
5237,Donmatías,-,8,-,8,-,2,-,2,-,-,-,-,10,0,123.28556017876407,-,85.63476771569258,0,25.246149962130776,-,18.733608092918697,-,-,-,-,49.955040463582776
5240,Ebéjico,-,4,-,4,-,-,-,-,-,-,-,-,4,0,83.33333333333334,-,63.8060296698038,0,0,-,0,-,-,-,-,32.462262619704596
5250,El Bagre,1,16,-,17,-,2,-,2,-,-,-,-,19,9.065361254645998,100.11262670504317,-,62.93266205160479,0,11.846937566639024,-,7.228567297961543,-,-,-,-,34.74698707046323
5148,El Carmen de Viboral,-,9,-,9,-,2,-,2,-,-,-,-,11,0,40.00889086463659,-,28.681602345517707,0,8.51063829787234,-,6.214074879602299,-,-,-,-,17.30539298974262
5697,El Santuario,-,3,-,3,-,-,-,-,-,-,-,-,3,0,25.72678157962439,-,17.02127659574468,0,0,-,0,-,-,-,-,8.07037365830038
5264,Entrerríos,-,3,-,3,-,-,-,-,-,-,-,-,3,0,70.52186177715092,-,50.4965494024575,0,0,-,0,-,-,-,-,25.184687709872396
5266,Envigado,-,3,-,3,-,-,-,-,-,-,-,-,3,0,3.2622879512831666,-,2.649544719898964,0,0,-,0,-,-,-,-,1.2194973232033757
5282,Fredonia,-,4,-,4,-,-,-,-,-,-,-,-,4,0,40.90816117815504,-,31.663104567402836,0,0,-,0,-,-,-,-,15.912164850027846
5284,Frontino,-,9,-,9,-,2,-,2,-,-,-,-,11,0,137.1951219512195,-,85.7061232263594,0,29.42041776993233,-,19.011406844106464,-,-,-,-,52.32862375719519
5306,Giraldo,-,5,-,5,-,-,-,-,-,-,-,-,5,0,245.5795677799607,-,167.0564650851988,0,0,-,0,-,-,-,-,85.63110121596164
5308,Girardota,2,6,-,8,-,2,-,2,-,-,-,-,10,30.59975520195838,29.150269639994168,-,29.499612817581767,0,9.049773755656108,-,7.098491570541261,-,-,-,-,18.085144862010342
5310,Gómez Plata,-,5,-,5,-,-,-,-,-,-,-,-,5,0,134.55328310010765,-,99.9000999000999,0,0,-,0,-,-,-,-,49.62779156327544
5313,Granada,-,2,-,2,-,-,-,-,-,-,-,-,2,0,62.131096613855235,-,40.54327995134806,0,0,-,0,-,-,-,-,20.171457387796266
5315,Guadalupe,-,2,-,2,-,2,-,2,-,-,-,-,4,0,82.78145695364239,-,58.05515239477503,0,83.92782207301721,-,60.18657839301836,-,-,-,-,59.1016548463357
5318,Guarne,1,10,-,11,1,-,-,1,-,-,-,-,12,13.732491073880801,45.44834795255193,-,37.5618917534574,15.415446277169725,0,-,3.3570565328320128,-,-,-,-,20.313848966532934
5321,Guatapé,-,3,-,3,-,-,-,-,-,-,-,-,3,0,92.67840593141798,-,69.46052326927528,0,0,-,0,-,-,-,-,33.921302578018995
5347,Heliconia,-,3,-,3,-,-,-,-,-,-,-,-,3,0,135.9927470534905,-,104.85844110450893,0,0,-,0,-,-,-,-,54.754517247672936
5353,Hispania,-,2,-,2,-,-,-,-,-,-,-,-,2,0,95.51098376313276,-,70.67137809187278,0,0,-,0,-,-,-,-,35.22367030644593
5360,Itagüí,-,25,-,25,-,3,-,3,-,-,-,-,28,0,22.857978806082052,-,17.822389198206356,0,2.4027679887230087,-,1.9445416715280206,-,-,-,-,9.505993868633956
5361,Ituango,2,47,-,49,1,2,-,3,-,-,-,-,52,48.768593026091196,359.2448215241153,-,285.1489757914339,26.336581511719782,27.628125431689462,-,27.183762232693002,-,-,-,-,184.26647767540751
5364,Jardín,-,11,-,11,-,1,-,1,-,-,-,-,12,0,198.5201227215304,-,146.9213303058635,0,17.25625539257981,-,13.204806549584047,-,-,-,-,79.6812749003984
