NÚMERO DE CASOS","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF)","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).1","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).2","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).3","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).4","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).5","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).6",VIOLENCIA ENTRE OTROS FAMILIARES (VIF),VIOLENCIA ENTRE OTROS FAMILIARES (VIF).1,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).2,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).3,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).4,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).5,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).6,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF),VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).1,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).2,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).3,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).4,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).5,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).6,TOTAL VIOLENCIA INTRAFAMILIAR,TOTAL VIOLENCIA INTRAFAMILIAR.1,TOTAL VIOLENCIA INTRAFAMILIAR.2,TOTAL VIOLENCIA INTRAFAMILIAR.3,TOTAL VIOLENCIA INTRAFAMILIAR.4,TOTAL VIOLENCIA INTRAFAMILIAR.5,TOTAL VIOLENCIA INTRAFAMILIAR.6
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,
5321,Guatapé,2,0,2,3,0,3,5,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,2,3,1,4,6
5353,Hispania,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2
5360,Itagüí,10,0,10,13,0,13,23,0,18,18,0,47,47,65,0,6,6,0,6,6,12,10,24,34,13,53,66,100
5361,Ituango,1,0,1,0,0,0,1,0,1,1,0,1,1,2,0,0,0,0,0,0,0,1,1,2,0,1,1,3
5364,Jardín,1,0,1,2,0,2,3,0,2,2,0,4,4,6,0,0,0,0,0,0,0,1,2,3,2,4,6,9
5368,Jericó,3,0,3,1,0,1,4,0,3,3,0,6,6,9,0,1,1,0,2,2,3,3,4,7,1,8,9,16
5376,La Ceja,12,0,12,13,0,13,25,0,5,5,0,22,22,27,0,4,4,0,1,1,5,12,9,21,13,23,36,57
5380,La Estrella,4,0,4,4,0,4,8,0,6,6,0,8,8,14,0,1,1,0,4,4,5,4,7,11,4,12,16,27
5400,La Unión,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
5411,Liborina,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
5425,Maceo,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
5001,Medellín,125,0,125,142,0,142,267,0,235,235,0,467,467,702,0,51,51,0,77,77,128,125,286,411,142,544,686,1097
5467,Montebello,2,0,2,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,1,3,0,0,0,3
5480,Mutatá,2,0,2,1,0,1,3,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,2,1,2,3,5
5495,Nechí,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
5490,Necoclí,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
5541,Peñol,2,0,2,0,0,0,2,0,2,2,0,2,2,4,0,0,0,0,0,0,0,2,2,4,0,2,2,6
5579,Puerto Berrío,3,0,3,2,0,2,5,0,4,4,0,6,6,10,0,2,2,0,0,0,2,3,6,9,2,6,8,17
5591,Puerto Triunfo,1,0,1,0,0,0,1,0,0,0,0,3,3,3,0,0,0,0,1,1,1,1,0,1,0,4,4,5
5604,Remedios,0,0,0,0,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,1,1,0,1,1,2
5607,Retiro,1,0,1,1,0,1,2,0,2,2,0,7,7,9,0,0,0,0,0,0,0,1,2,3,1,7,8,11
5615,Rionegro,1,0,1,5,0,5,6,0,3,3,0,18,18,21,0,1,1,0,2,2,3,1,4,5,5,20,25,30
5631,Sabaneta,2,0,2,8,0,8,10,0,3,3,0,6,6,9,0,0,0,0,1,1,1,2,3,5,8,7,15,20
5642,Salgar,4,0,4,5,0,5,9,0,0,0,0,4,4,4,0,0,0,0,0,0,0,4,0,4,5,4,9,13
5647,San Andrés de Cuerquía,0,0,0,1,0,1,1,0,2,2,0,2,2,4,0,0,0,0,0,0,0,0,2,2,1,2,3,5
5649,San Carlos,1,0,1,1,0,1,2,0,2,2,0,5,5,7,0,0,0,0,0,0,0,1,2,3,1,5,6,9
5656,San Jerónimo,1,0,1,2,0,2,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,2,1,3,4
5660,San Luis,0,0,0,3,0,3,3,0,2,2,0,1,1,3,0,0,0,0,0,0,0,0,2,2,3,1,4,6
5664,San Pedro de los Milagros,3,0,3,5,0,5,8,0,2,2,0,8,8,10,0,1,1,0,1,1,2,3,3,6,5,9,14,20
5667,San Rafael,2,0,2,0,0,0,2,0,1,1,0,4,4,5,0,1,1,0,0,0,1,2,2,4,0,4,4,8
5670,San Roque,1,0,1,4,0,4,5,0,2,2,0,4,4,6,0,0,0,0,2,2,2,1,2,3,4,6,10,13
5679,Santa Bárbara,0,0,0,0,0,0,0,0,3,3,0,3,3,6,0,0,0,0,0,0,0,0,3,3,0,3,3,6
5042,Santa Fé de Antioquia,1,0,1,3,0,3,4,0,6,6,0,5,5,11,0,1,1,0,1,1,2,1,7,8,3,6,9,17
5686,Santa Rosa de Osos,2,0,2,1,0,1,3,0,3,3,0,1,1,4,0,0,0,0,0,0,0,2,3,5,1,1,2,7
5690,Santo Domingo,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
5736,Segovia,0,0,0,0,0,0,0,0,2,2,0,4,4,6,0,0,0,0,0,0,0,0,2,2,0,4,4,6
5756,Sonsón,2,0,2,5,0,5,7,0,0,0,0,6,6,6,0,0,0,0,1,1,1,2,0,2,5,7,12,14
5761,Sopetrán,1,0,1,2,0,2,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2,2,0,2,4
5790,Tarazá,0,0,0,1,0,1,1,0,1,1,0,3,3,4,0,0,0,0,0,0,0,0,1,1,1,3,4,5
5837,Turbo,1,0,1,2,0,2,3,0,1,1,0,5,5,6,0,0,0,0,0,0,0,1,1,2,2,5,7,9
5842,Uramita,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
