Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
,,,,,,
,,,,,,
,,,,,,
PROYECCIONES DE POBLACIÓN MUNICIPAL POR ÁREA.,,,,,,
,,,,,,
PROYECCIONES DE POBLACIÓN A NIVEL MUNICIPAL. PERIODO 1995 - 2004.,,,,,,
,,,,,,
,,,,,,
,,,,,,
DP,DPNOM,DPMP,MPIO,AÑO,ÁREA GEOGRÁFICA,Población
05,Antioquia,05021,Alejandría,2004,Centros Poblados y Rural Disperso,2630
05,Antioquia,05021,Alejandría,2004,Total,4755
05,Antioquia,05030,Amagá,1995,Cabecera Municipal,10355
05,Antioquia,05030,Amagá,1995,Centros Poblados y Rural Disperso,14640
05,Antioquia,05030,Amagá,1995,Total,24995
05,Antioquia,05030,Amagá,1996,Cabecera Municipal,10515
05,Antioquia,05030,Amagá,1996,Centros Poblados y Rural Disperso,14686
05,Antioquia,05030,Amagá,1996,Total,25201
05,Antioquia,05030,Amagá,1997,Cabecera Municipal,10691
05,Antioquia,05030,Amagá,1997,Centros Poblados y Rural Disperso,14781
05,Antioquia,05030,Amagá,1997,Total,25472
05,Antioquia,05030,Amagá,1998,Cabecera Municipal,10858
05,Antioquia,05030,Amagá,1998,Centros Poblados y Rural Disperso,14841
05,Antioquia,05030,Amagá,1998,Total,25699
05,Antioquia,05030,Amagá,1999,Cabecera Municipal,11044
05,Antioquia,05030,Amagá,1999,Centros Poblados y Rural Disperso,14893
05,Antioquia,05030,Amagá,1999,Total,25937
05,Antioquia,05030,Amagá,2000,Cabecera Municipal,11213
05,Antioquia,05030,Amagá,2000,Centros Poblados y Rural Disperso,14961
05,Antioquia,05030,Amagá,2000,Total,26174
05,Antioquia,05030,Amagá,2001,Cabecera Municipal,11372
05,Antioquia,05030,Amagá,2001,Centros Poblados y Rural Disperso,14975
05,Antioquia,05030,Amagá,2001,Total,26347
05,Antioquia,05030,Amagá,2002,Cabecera Municipal,11535
05,Antioquia,05030,Amagá,2002,Centros Poblados y Rural Disperso,15038
05,Antioquia,05030,Amagá,2002,Total,26573
05,Antioquia,05030,Amagá,2003,Cabecera Municipal,11690
05,Antioquia,05030,Amagá,2003,Centros Poblados y Rural Disperso,15043
05,Antioquia,05030,Amagá,2003,Total,26733
05,Antioquia,05030,Amagá,2004,Cabecera Municipal,11844
05,Antioquia,05030,Amagá,2004,Centros Poblados y Rural Disperso,15095
05,Antioquia,05030,Amagá,2004,Total,26939
05,Antioquia,05031,Amalfi,1995,Cabecera Municipal,9273
05,Antioquia,05031,Amalfi,1995,Centros Poblados y Rural Disperso,11461
05,Antioquia,05031,Amalfi,1995,Total,20734
05,Antioquia,05031,Amalfi,1996,Cabecera Municipal,9509
05,Antioquia,05031,Amalfi,1996,Centros Poblados y Rural Disperso,11457
05,Antioquia,05031,Amalfi,1996,Total,20966
05,Antioquia,05031,Amalfi,1997,Cabecera Municipal,9735
05,Antioquia,05031,Amalfi,1997,Centros Poblados y Rural Disperso,11470
05,Antioquia,05031,Amalfi,1997,Total,21205
05,Antioquia,05031,Amalfi,1998,Cabecera Municipal,9970
