Departamento , MUNICIPIO DEL HECHO DANE,CÓDIGOS DIVIPOLA,SEXO,VARIABLE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Brasil,Chile,Colombia,Cuba,Ecuador,España,Estados Unidos,Italia,México,Reino Unido,Venezuela,TOTAL
Antioquia , Betania,5091.0,TOTAL,,0,0,2,0,0,0,0,0,0,0,0,2
Antioquia , Buriticá,5113.0,Hombre,Menores de Edad (<18 años),0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Buriticá,5113.0,Hombre,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Buriticá,5113.0,HOMBRE,TOTAL,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Buriticá,5113.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Buriticá,5113.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Buriticá,5113.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Buriticá,5113.0,TOTAL,,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Caldas,5129.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Caldas,5129.0,Hombre,Mayores de Edad (>18 años),0,0,5,0,0,0,0,0,0,0,0,5
Antioquia , Caldas,5129.0,HOMBRE,TOTAL,0,0,5,0,0,0,0,0,0,0,0,5
Antioquia , Caldas,5129.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Caldas,5129.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Caldas,5129.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Caldas,5129.0,TOTAL,,0,0,5,0,0,0,0,0,0,0,0,5
Antioquia , Cañasgordas,5138.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Cañasgordas,5138.0,Hombre,Mayores de Edad (>18 años),0,0,3,0,0,0,0,0,0,0,0,3
Antioquia , Cañasgordas,5138.0,HOMBRE,TOTAL,0,0,3,0,0,0,0,0,0,0,0,3
Antioquia , Cañasgordas,5138.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Cañasgordas,5138.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Cañasgordas,5138.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Cañasgordas,5138.0,TOTAL,,0,0,3,0,0,0,0,0,0,0,0,3
Antioquia , Carepa,5147.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Carepa,5147.0,Hombre,Mayores de Edad (>18 años),0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Carepa,5147.0,HOMBRE,TOTAL,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Carepa,5147.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Carepa,5147.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Carepa,5147.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Carepa,5147.0,TOTAL,,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Carolina,5150.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Carolina,5150.0,Hombre,Mayores de Edad (>18 años),0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Carolina,5150.0,HOMBRE,TOTAL,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Carolina,5150.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Carolina,5150.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Carolina,5150.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Carolina,5150.0,TOTAL,,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Caucasia,5154.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Caucasia,5154.0,Hombre,Mayores de Edad (>18 años),0,0,2,0,0,0,0,0,0,0,0,2
Antioquia , Caucasia,5154.0,HOMBRE,TOTAL,0,0,2,0,0,0,0,0,0,0,0,2
Antioquia , Caucasia,5154.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Caucasia,5154.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Caucasia,5154.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Caucasia,5154.0,TOTAL,,0,0,2,0,0,0,0,0,0,0,0,2
Antioquia , Chigorodó,5172.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Chigorodó,5172.0,Hombre,Mayores de Edad (>18 años),0,0,3,0,0,0,0,0,0,0,0,3
Antioquia , Chigorodó,5172.0,HOMBRE,TOTAL,0,0,3,0,0,0,0,0,0,0,0,3
Antioquia , Chigorodó,5172.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Chigorodó,5172.0,Mujer,Mayores de Edad (>18 años),0,0,2,0,0,0,0,0,0,0,0,2
Antioquia , Chigorodó,5172.0,MUJER,TOTAL,0,0,2,0,0,0,0,0,0,0,0,2
Antioquia , Chigorodó,5172.0,TOTAL,,0,0,5,0,0,0,0,0,0,0,0,5
Antioquia , Cisneros,5190.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Cisneros,5190.0,Hombre,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Cisneros,5190.0,HOMBRE,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Cisneros,5190.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Cisneros,5190.0,Mujer,Mayores de Edad (>18 años),0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Cisneros,5190.0,MUJER,TOTAL,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Cisneros,5190.0,TOTAL,,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Ciudad Bolívar,5101.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Ciudad Bolívar,5101.0,Hombre,Mayores de Edad (>18 años),0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Ciudad Bolívar,5101.0,HOMBRE,TOTAL,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Ciudad Bolívar,5101.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Ciudad Bolívar,5101.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Ciudad Bolívar,5101.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Ciudad Bolívar,5101.0,TOTAL,,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Cocorná,5197.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Cocorná,5197.0,Hombre,Mayores de Edad (>18 años),0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Cocorná,5197.0,HOMBRE,TOTAL,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Cocorná,5197.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Cocorná,5197.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Cocorná,5197.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Cocorná,5197.0,TOTAL,,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Concordia,5209.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Concordia,5209.0,Hombre,Mayores de Edad (>18 años),0,0,2,0,0,0,0,0,0,0,0,2
